method,label,S0,I0,objective_mse,daily_rmse_total,daily_rmse_community,daily_rmse_quarantine,cumulative_rmse_total,cumulative_rmse_community,cumulative_rmse_quarantine,predicted_total_cases,observed_total_cases
sqrt_daily,daily sqrt residual,13162999.999042403,0.0009575977435923774,0.6392918049765777,9.562133279315423,6.917781041918157,11.61951337874615,40.606951627464206,22.8071710577128,52.70371893229797,1996.8130469155444,2050.0
daily_mse,daily MSE,13162999.999002965,0.000997035586504417,88.69326925399518,9.417710404020458,6.871567665654477,11.409123381063168,21.82791875292436,18.686922851924333,24.570612293851415,2078.987971384937,2050.0
paper_mse,paper-style MSE,13162999.998993373,0.0010066282337901089,259.19035128682293,9.426315720433239,6.879511959024301,11.418545061793786,20.724991544325395,19.67779230109831,21.721764182026146,2098.974678369402,2050.0
