strategy,t,S,I,Sq,Iq,Cc,Cq,c,q,Rt
TDINN-q-only,39.39939314400406,6654.530270843587,11.18964446594758,34244.750542447655,30.41719917482768,3067.0038917271354,6033.713986425146,12.8872,0.956658682063562,0.037709992747772876
TDINN-q-only,39.42438867113446,6654.0698630779325,11.110443942653546,34245.139346021606,30.21812415505958,3067.0069911254004,6033.782491218581,12.8872,0.9567701242800091,0.03761042784988139
TDINN-q-only,39.44938419826486,6653.61270168789,11.031796043401705,34245.52541508966,30.02031896544159,3067.010060457039,6033.85051420893,12.8872,0.9568811890640956,0.03751122301851491
TDINN-q-only,39.47437972539525,6653.158764010951,10.953696993633782,34245.908768665635,29.823775764976585,3067.013100020623,6033.918058746311,12.8872,0.9569918773670685,0.037412377089646974
TDINN-q-only,39.49937525252565,6652.708027530624,10.876143041940509,34246.28942564168,29.628486757599703,3067.016110111812,6033.985128159404,12.8872,0.9571021901392276,0.03731388890338688
TDINN-q-only,39.52437077965605,6652.260469876437,10.79913046006174,34246.66740478828,29.43444419217868,3067.0190910233546,6034.051725755451,12.8872,0.9572121283299193,0.037215757303959256
TDINN-q-only,39.54936630678645,6651.816068823935,10.722655542886374,34247.04272475423,29.241640362513635,3067.0220430450886,6034.117854820261,12.8872,0.9573216928875307,0.03711798113968343
TDINN-q-only,39.574361833916846,6651.374802294682,10.64671460845239,34247.4154040667,29.050067607337155,3067.0249664639396,6034.183518618199,12.8872,0.9574308847594839,0.037020559262952606
TDINN-q-only,39.59935736104725,6650.936648356259,10.57130399794677,34247.78546113114,28.85971831031411,3067.027861563922,6034.248720392197,12.8872,0.9575397048922306,0.03692349053021354
TDINN-q-only,39.62435288817765,6650.501585222267,10.49642007570562,34248.15291423137,28.670584900041966,3067.0307286261386,6034.313463363749,12.8872,0.957648154231246,0.03682677380194627
TDINN-q-only,39.64934841530805,6650.069591252322,10.42205922921409,34248.5177815295,28.482659850050553,3067.033567928781,6034.377750732911,12.8872,0.9577562337210229,0.03673040794264441
TDINN-q-only,39.67434394243844,6649.640644952063,10.348217869106415,34248.880081066025,28.295935678802195,3067.036379747129,6034.441585678302,12.8872,0.9578639443050665,0.03663439182079447
TDINN-q-only,39.69933946956884,6649.2147249731415,10.274892429165824,34249.239830759725,28.110404949691482,3067.039164353552,6034.504971357102,12.8872,0.9579712869258885,0.03653872430885648
TDINN-q-only,39.72433499669924,6648.791810113232,10.202079366324678,34249.597048407726,27.926060271045603,3067.0419220175067,6034.567910905055,12.8872,0.9580782625250018,0.03644340428324393
TDINN-q-only,39.74933052382964,6648.371879316023,10.12977516066438,34249.95175168549,27.742894296124113,3067.044653005539,6034.63040743647,12.8872,0.9581848720429144,0.036348430624304776
TDINN-q-only,39.774326050960035,6647.954911671226,10.057976315415411,34250.3039581468,27.560899723119064,3067.0473575812834,6034.692464044214,12.8872,0.9582911164191242,0.03625380221630122
TDINN-q-only,39.799321578090435,6647.540886414566,9.986679356957257,34250.65368522377,27.38006929515477,3067.0500360054625,6034.75408379972,12.8872,0.9583969965921141,0.03615951794739071
TDINN-q-only,39.824317105220835,6647.129782927787,9.91588083481853,34251.000950226866,27.200395800288142,3067.052688535888,6034.815269752981,12.8872,0.9585025134993453,0.036065576709606834
TDINN-q-only,39.849312632351236,6646.721580738655,9.845577321676881,34251.34577034485,27.02187207150846,3067.0553154274608,6034.876024932556,12.8872,0.958607668077253,0.03597197739884025
TDINN-q-only,39.87430815948163,6646.316259520949,9.775765413359046,34251.68816264484,26.844490986737505,3067.057916932168,6034.936352345563,12.8872,0.9587124612612403,0.03587871891481934
TDINN-q-only,39.89930368661203,6645.913799094468,9.706441728840765,34252.028144072276,26.668245468829312,3067.060493299088,6034.996254977686,12.8872,0.9588168939856735,0.035785800161091896
TDINN-q-only,39.92429921374243,6645.514179425031,9.6376029102469,34252.36573145093,26.493128485570516,3067.0630447743865,6035.0557357931675,12.8872,0.9589209671838761,0.03569322004500613
TDINN-q-only,39.94929474087283,6645.117380624473,9.569245622851351,34252.700941482915,26.319133049680126,3067.065571601317,6035.114797734816,12.8872,0.9590246817881241,0.03560097747769218
TDINN-q-only,39.97429026800322,6644.7233828914505,9.501366546609683,34253.0337907973,26.14625219876735,3067.0680740221887,6035.173443732577,12.8872,0.9591280387296404,0.03550907137372725
TDINN-q-only,39.99928579513362,6644.332166083142,9.433962318264363,34253.3642962994,25.974478826808397,3067.070552295924,6035.231676765056,12.8872,0.9592310389385897,0.03541750064883838
TDINN-q-only,40.024281322264024,6643.943710888851,9.36702970255441,34253.69247420321,25.803806059081676,3067.0730066623887,6035.2894996890645,12.8872,0.9593336833440737,0.03532626422615696
TDINN-q-only,40.049276849394424,6643.557998315348,9.300565512476565,34254.01834045975,25.634227121694334,3067.0754373533537,6035.346915315068,12.8872,0.9594359728741251,0.035235361033424874
TDINN-q-only,40.07427237652482,6643.175009477228,9.234566578555441,34254.341910929914,25.46573527586611,3067.0778445987094,6035.403926437664,12.8872,0.9595379084557032,0.03514479000185642
TDINN-q-only,40.09926790365522,6642.7947255969075,9.169029748843446,34254.66320138457,25.298323817929163,3067.0802286264675,6035.460535835578,12.8872,0.959639491014689,0.03505455006612248
TDINN-q-only,40.12426343078562,6642.417128004628,9.103951888920902,34254.982227504464,25.131986079328353,3067.0825896627607,6035.516746271665,12.8872,0.9597407214758795,0.03496464016433632
TDINN-q-only,40.14925895791602,6642.0421981384525,9.039329881895963,34255.29900488031,24.966715426621047,3067.0849279318422,6035.57256049291,12.8872,0.9598416007629831,0.03487505923803803
TDINN-q-only,40.17425448504641,6641.669917544273,8.97516062840466,34255.613549012734,24.80250526147721,3067.0872436560867,6035.6279812304265,12.8872,0.9599421297986144,0.03478580623218003
TDINN-q-only,40.19925001217681,6641.300267875798,8.91144104661082,34255.92587531227,24.639349020679237,3067.0895370559892,6035.683011199459,12.8872,0.9600423095042898,0.03469688009511179
TDINN-q-only,40.22424553930721,6640.933230894568,8.84816807220618,34256.23599909941,24.4772401761222,3067.091808350166,6035.737653099379,12.8872,0.960142140800422,0.03460827977856586
TDINN-q-only,40.24924106643761,6640.568788469938,8.785338658410312,34256.54393560453,24.3161722348137,3067.0940577553542,6035.791909613691,12.8872,0.9602416246063155,0.034520004237642773
TDINN-q-only,40.274236593568006,6640.206922579096,8.722949775970658,34256.849699967985,24.156138738873924,3067.0962854864115,6035.845783410027,12.8872,0.9603407618401613,0.034432052430796826
TDINN-q-only,40.299232120698406,6639.847615307046,8.660998413162467,34257.153307240005,23.997133265535492,3067.098491756317,6035.899277140148,12.8872,0.9604395534190332,0.034344423319821085
TDINN-q-only,40.324227647828806,6639.490848846621,8.599481575788891,34257.454772380785,23.839149427143703,3067.1006767761696,6035.952393439946,12.8872,0.9605380002588816,0.03425711586983424
TDINN-q-only,40.34922317495921,6639.136605498474,8.538396287180916,34257.754110260415,23.682180871156383,3067.102840755191,6036.005134929441,12.8872,0.9606361032745299,0.03417012904926518
TDINN-q-only,40.3742187020896,6638.7848676710855,8.477739588197405,34258.05133565893,23.526221280143943,3067.1049839007223,6036.057504212783,12.8872,0.9607338633796692,0.03408346182983963
TDINN-q-only,40.39921422922,6638.435617880756,8.41750853722502,34258.34646326629,23.371264371789227,3067.1071064182256,6036.109503878252,12.8872,0.9608312814868539,0.03399711318656572
TDINN-q-only,40.4242097563504,6638.0888387516125,8.357700210178331,34258.63950768236,23.217303898887767,3067.109208511285,6036.161136498258,12.8872,0.9609283585074971,0.03391108209772032
TDINN-q-only,40.4492052834808,6637.744513015604,8.29831170049974,34258.930483416974,23.064333649347606,3067.1112903816033,6036.212404629338,12.8872,0.9610250953518659,0.033825367544834964
TDINN-q-only,40.474200810611194,6637.402623512504,8.239340119159527,34259.219404889845,22.912347446189383,3067.113352229007,6036.263310812162,12.8872,0.9611214929290766,0.03373996851268224
TDINN-q-only,40.499196337741594,6637.06315318991,8.18078259465577,34259.50628643064,22.76133914754617,3067.115394251441,6036.313857571526,12.8872,0.9612175521470909,0.03365488398926178
TDINN-q-only,40.524191864871995,6636.726085103242,8.122636273014454,34259.79114227895,22.611302646663724,3067.1174166449728,6036.364047416358,12.8872,0.9613132739127107,0.03357011296578726
TDINN-q-only,40.549187392002395,6636.391402415747,8.064898317789403,34260.07398658427,22.46223187190031,3067.11941960379,6036.413882839714,12.8872,0.9614086591315739,0.03348565443667234
TDINN-q-only,40.57418291913279,6636.0590883984905,8.007565910062306,34260.35483340605,22.314120786726797,3067.121403320201,6036.463366318781,12.8872,0.96150370870815,0.033401507399517534
TDINN-q-only,40.59917844626319,6635.729126430365,7.950636248442663,34260.633696713645,22.166963389726476,3067.123367984635,6036.512500314873,12.8872,0.9615984235457358,0.0333176708550968
TDINN-q-only,40.62417397339359,6635.401499998087,7.894106549067874,34260.91059038635,22.020753714595337,3067.1253137856434,6036.561287273437,12.8872,0.9616928045464508,0.03323414380734413
TDINN-q-only,40.64916950052399,6635.076192696197,7.837974045603177,34261.18552821338,21.875485830141866,3067.1272409098965,6036.609729624047,12.8872,0.9617868526112331,0.033150925263340736
TDINN-q-only,40.67416502765438,6634.753188227057,7.7822359892416815,34261.45852389387,21.731153840287153,3067.1291495421874,6036.657829780407,12.8872,0.961880568639835,0.033068014233301725
TDINN-q-only,40.69916055478478,6634.432470400853,7.726889648704303,34261.729591036885,21.58775188406473,3067.131039865428,6036.705590140351,12.8872,0.9619739535308186,0.03298540973056321
TDINN-q-only,40.72415608191518,6634.114023135598,7.671932310239855,34261.99874316143,21.445274135620792,3067.132912060654,6036.753013085841,12.8872,0.9620670081815521,0.03290311077156922
TDINN-q-only,40.74915160904558,6633.797830457124,7.617361277624997,34262.265993696405,21.303714804214067,3067.1347663070187,6036.800100982971,12.8872,0.9621597334882049,0.03282111637585917
TDINN-q-only,40.774147136175976,6633.483876499092,7.56317387216425,34262.53135598067,21.163068134215862,3067.1366027817985,6036.846856181963,12.8872,0.9622521303457441,0.03273942556605486
TDINN-q-only,40.79914266330638,6633.172145502982,7.509367432689948,34262.79484326298,21.023328405109936,3067.13842166039,6036.893281017167,12.8872,0.9623441996479297,0.03265803736784796
TDINN-q-only,40.82413819043678,6632.8626218181,7.455939315562324,34263.056468702045,20.88448993149271,3067.140223116311,6036.939377807065,12.8872,0.9624359422873112,0.03257695080998739
TDINN-q-only,40.84913371756718,6632.555289901575,7.402886894669447,34263.31624536648,20.746547063073137,3067.1420073211993,6036.985148854269,12.8872,0.962527359155223,0.03249616492426687
