scenario,strategy,N,eta,eta_fraction,peak_I,peak_time,time_above_eta,clear_time,cum_total_infections,J_c,J_q,J,q_max,control_start,control_end,control_duration,status
city_eta002N,TDINN控制,13163000.0,26326.0,0.002,151.90363476994975,21.207692244543836,0.0,45.27247064225558,2096.75783869108,19.153014791419615,25.147146686751597,49.35392945978424,0.9743562458182238,0.0,45.27247064225558,45.27247064225558,ok
city_eta002N,TDINN-q-only,13163000.0,26326.0,0.002,6719.079611829987,27.39226875212802,0.0,67.40128112640039,184172.84825469935,0.0,46.6934850253614,80.27350638228855,0.9843383963660639,0.0,67.40128112640039,67.40128112640039,ok
city_eta002N,情景一阈值控制,13163000.0,26326.0,0.002,26326.0,16.90089167316588,0.0,258.10898106970456,2377943.137986603,0.0,36.763552395968276,40.71096164101637,0.8450164412810773,16.90089167316588,101.97196883954985,85.07107716638396,ok
city_eta002N,常规控制,13163000.0,26326.0,0.002,1377549.706167043,22.995160117162072,22.142108390309637,75.57641977089962,4587182.843828065,0.0,0.0,0.0,0.323,0.0,0.0,0.0,ok
city_eta100,TDINN控制,13163000.0,100.0,7.597052343690648e-06,151.90363476994975,21.207692244543836,9.52095593928159,45.27247064225558,2096.75783869108,19.153014791419615,25.147146686751597,49.35392945978424,0.9743562458182238,0.0,45.27247064225558,45.27247064225558,ok
city_eta100,TDINN-q-only,13163000.0,100.0,7.597052343690648e-06,6719.079611829987,27.39226875212802,36.93524065532452,67.40128112640039,184172.84825469935,0.0,46.6934850253614,80.27350638228855,0.9843383963660639,0.0,67.40128112640039,67.40128112640039,ok
city_eta100,情景一阈值控制,13163000.0,100.0,7.597052343690648e-06,100.0,11.378062781921809,0.0,23748.32147126102,2109306.4442905914,0.0,9786.839030113873,10884.647629022387,0.8470202634837929,11.378062781921809,22534.663558637247,22523.285495855325,ok
city_eta100,常规控制,13163000.0,100.0,7.597052343690648e-06,1377549.706167043,22.995160117162072,47.658014334447486,75.57641977089962,4587182.843828065,0.0,0.0,0.0,0.323,0.0,0.0,0.0,ok
Neff50000_eta100,TDINN控制,50000.0,100.0,0.002,166.2455351566664,20.397659263596235,10.019455945754958,44.334414365923536,2046.7466939470369,18.476283401331152,24.24589356110659,47.13393352187059,0.9724744715313873,0.0,44.334414365923536,44.334414365923536,ok
Neff50000_eta100,TDINN-q-only,50000.0,100.0,0.002,1020.0793845389715,19.702917765249992,18.721649820668524,47.797890259817976,9109.81552166399,0.0,27.58455591018644,43.01940299086944,0.9781863322537366,0.0,47.797890259817976,47.797890259817976,ok
Neff50000_eta100,情景一阈值控制,50000.0,100.0,0.002,100.0,11.13123702446936,0.0,176.20008335963067,9028.20402660154,0.0,36.46663166653571,40.25276084310408,0.8423275507022817,11.13123702446936,96.20231940036076,85.07108237589141,ok
Neff50000_eta100,常规控制,50000.0,100.0,0.002,5232.657123985293,17.215119805454716,22.149415356210085,49.81425933649077,17424.446375655338,0.0,0.0,0.0,0.323,0.0,0.0,0.0,ok
