strategy,t,S,I,Sq,Iq,Cc,Cq,c,q,Rt
TDINN控制,0.0,49999.99869144353,0.001308556473377499,0.0,0.0,0.0,0.0,12.8872,0.32300000000000006,4.425838804319797
TDINN控制,0.024929677089096783,49999.99851074832,0.001341978100874648,0.00011691765227873784,2.0510139732172327e-05,4.3177387467997855e-05,2.0600169738126237e-05,12.887187443675408,0.32300083979655914,4.425828986014446
TDINN控制,0.049859354178193566,49999.998325437635,0.0013762531671650858,0.0002368219376656171,4.136445111944427e-05,8.74573896600442e-05,4.172656582252344e-05,12.887149774802005,0.32300335917983836,4.425799562819593
TDINN控制,0.07478903126729035,49999.99813539366,0.00141140320357406,0.0003597893261553453,6.257334107604317e-05,0.00013286788396087103,6.339266179495496e-05,12.8870869936809,0.3230075581306444,4.425750535146486
TDINN控制,0.09971870835638713,49999.99794049534,0.00144745031488032,0.00048589839117273316,8.414748764942891e-05,0.00017943749378053709,8.561230180860429e-05,12.886999100813943,0.3230134366169882,4.425681903687059
TDINN控制,0.12464838544548391,49999.997740618426,0.0014844171793161158,0.0006152298095726933,0.00010609784002029384,0.0002271955885544279,0.00010839970062807498,12.886886096903712,0.32302099459408595,4.425593669413914
TDINN控制,0.1495780625345807,49999.99753563544,0.0015223270485671982,0.0007478663616402419,0.0001284356185025629,0.00027617228374325587,0.0001317694436293908,12.886747982853509,0.3230302320043593,4.425485833580289
TDINN控制,0.1745077396236775,49999.99732541567,0.0015612037477728202,0.000883892931090497,0.00015117231454339348,0.00032639844083306015,0.00015573648679999556,12.886584759767338,0.3230411487774363,4.425358397720039
TDINN控制,0.19943741671277426,49999.9971098252,0.0016010716755257347,0.00102339650506868,0.00017431969072317555,0.0003779056673352068,0.00018031615673875316,12.886396428949901,0.3230537448301519,4.42521136364759
TDINN控制,0.22436709380187103,49999.996888688765,0.0016419609721313765,0.0011664925273675295,0.0001978930637001459,0.00043073343674675783,0.00020552879393043505,12.886182991906578,0.3230680200665499,4.4250447334545235
TDINN控制,0.24929677089096783,49999.99666152584,0.001683942778652941,0.0013135078638777428,0.0002219340388077356,0.00048497783272808564,0.00023143199013042322,12.885944450343406,0.32308397437788294,4.424858509486168
TDINN控制,0.2742264479800646,49999.9964281865,0.001727042598921972,0.001464541506607847,0.0002464557396181382,0.0005406723263790159,0.00025804318712050747,12.885680806167047,0.32310160764261486,4.4246526943978175
TDINN控制,0.2991561250691614,49999.99618861149,0.0017712738305809034,0.0016196296272091033,0.0002714634781859625,0.0005978336524749368,0.0002853687581227048,12.885392061484785,0.3231209197264219,4.424427291133426
TDINN控制,0.32408580215825816,49999.99594273209,0.0018166514372776558,0.0017788146496126914,0.00029696337154428023,0.000656480610309355,0.0003134161779722196,12.885078218604473,0.3231419104821942,4.424182302916673
TDINN控制,0.349015479247355,49999.99569047019,0.0018631919486656367,0.0019421452500297076,0.0003229623417046255,0.0007166340636938956,0.00034219402311744306,12.884739280034518,0.3231645797500381,4.423917733250895
TDINN控制,0.37394515633645176,49999.99543173826,0.001910913460403738,0.002109676356951164,0.0003494681156569952,0.0007783169409583018,0.00037171197161995327,12.884375248483844,0.3231889273572779,4.423633585918984
TDINN控制,0.3988748334255485,49999.99516643934,0.001959835634156339,0.002281469151147991,0.0003764892253698487,0.0008415542349504356,0.0004019808031545154,12.883986126861855,0.32321495311845794,4.4233298649833115
TDINN控制,0.4238045105146453,49999.99489446706,0.0020099796975933046,0.0024575910656710366,0.0004040350077901084,0.0009063730030362777,0.0004330123990090816,12.883571918278392,0.32324265683534525,4.423006574785608
TDINN控制,0.44873418760374206,49999.99461570563,0.0020613684443899867,0.002638115785851064,0.000432115604843159,0.0009728023670999266,0.00046481974208479097,12.883132626043702,0.32327203829693185,4.422663719946876
TDINN控制,0.4736638646928389,49999.99433002985,0.0021140262342272224,0.0028231232492987547,0.000460741963432848,0.0010408735135435997,0.0004974169168959696,12.882668253668385,0.3233030972794375,4.422301305367256
TDINN控制,0.49859354178193566,49999.99403730508,0.0021679789927913353,0.003012699645904707,0.0004899258354414855,0.0011106196932876328,0.0005308191095701305,12.882178804863349,0.3233358335463127,4.42191933622592
