N_eff,eta,eta_fraction,I0_scaled,I0_fraction,t1,t2,control_duration,clear_time_I_le_1,tail_duration_I_le_1,tail_duration_I_le_1_ode,tail_formula_ode_error,fractional_clear_epsilon,clear_time_fractional,tail_duration_fractional,cum_fraction_t2,cum_total_infections_I_le_1,cum_fraction_I_le_1,J,q_start,q_max_theory,plateau_max_error,status,log_factor,clear_time_fractional_rel
50000.0,25.0,0.0005,0.00100662823352,2.01325646704e-08,10.00693941253815,351.7522549692027,341.74531555666454,469.57146687736235,117.81921190815967,117.81921190805815,1.0152234608540311e-10,1e-07,608.0979626411647,256.34570767196203,0.1594026712257441,8478.476450635615,0.1695695290127123,164.8183841465823,0.8466198724678359,0.8466198724678359,0.0,ok,2.2020701153209234,598.0910232286266
13163000.0,6581.5,0.0005,0.00100662823352,7.647407380688293e-11,15.515902143011772,357.26120187202076,341.745299729009,620.7668649864036,263.5056631143828,263.50566308781316,2.656963715708116e-08,1e-07,613.6069095439827,256.34570767196203,0.15940269428655562,2234665.8090043548,0.16976873121661892,164.81836521000517,0.846619858864923,0.846619858864923,0.0,ok,2.2020700133338424,598.091007400971
50000.0,50.0,0.001,0.00100662823352,2.01325646704e-08,10.695576567176282,181.32569414929705,170.63011758212076,278.9711512562716,97.64545710697453,97.64545710690989,6.464517809945391e-11,1e-07,378.64710237995814,197.32140823066106,0.15989161846473782,8706.857506708579,0.17413715013417158,82.1192424600444,0.8462024933889429,0.8462024933889429,0.0,ok,2.198944451304307,367.9515258127819
13163000.0,13163.0,0.001,0.00100662823352,7.647407380688293e-11,16.204539376760472,186.83464901394584,170.63010963718537,389.31735938371537,202.48271036976953,202.4827103871291,-1.7359553794449312e-08,1e-07,384.1560572446069,197.32140823066106,0.15989164153207366,2293938.696225295,0.17427172348441045,82.11923296968565,0.8462024797009858,0.8462024797009858,0.0,ok,2.1989443489163354,367.95151786784646
50000.0,100.0,0.002,0.00100662823352,2.01325646704e-08,11.387727143242069,96.45880831360131,85.07108117035924,176.4565949366131,79.99778662301179,79.99778662303054,-1.8744117369351443e-11,1e-07,248.84373068566723,152.38492237206592,0.16087011517918312,9028.20431452257,0.18056408629045143,40.76865460751499,0.8453598644466267,0.8453598644466267,0.0,ok,2.192656074517307,237.45600354242515
13163000.0,26326.0,0.002,0.00100662823352,7.647407380688293e-11,16.896690032843228,101.96776719922718,85.07107716638396,258.1042979884757,156.13653078924852,156.13653079935298,-1.0104457714987802e-08,1e-07,254.3526895712931,152.38492237206592,0.16087013825970703,2377943.1315193083,0.1806535844047184,40.76864984009255,0.8453598505859481,0.8453598505859481,0.0,ok,2.192655971317247,237.45599953844987
50000.0,200.0,0.004,0.00100662823352,2.01325646704e-08,12.087030919212394,54.37566085075394,42.28862993154154,119.6827251742763,65.30706432352235,65.3070643236345,-1.1215206541237421e-10,1e-07,172.91183515508052,118.5361743043266,0.16282955796777018,9483.18379834126,0.1896636759668252,20.091301688510043,0.8436423559189995,0.8436423559189995,0.0,ok,2.179928126615049,160.82480423586813
13163000.0,52652.0,0.004,0.00100662823352,7.647407380688293e-11,17.595993890686792,59.88462178790783,42.28862789722104,181.1807053885979,121.29608360069005,121.29608360509316,-4.403105435812904e-09,1e-07,178.4207960922344,118.5361743043266,0.16282958107524262,2497305.9427603753,0.18972163965360292,20.091299282203156,0.8436423417019789,0.8436423417019789,0.0,ok,2.179928021748268,160.8248022015476
50000.0,400.0,0.008,0.00100662823352,2.01325646704e-08,12.801170530460379,33.69246387623812,20.891293345777747,87.24503291203776,53.552569035799635,53.55256903616969,-3.700577622112178e-10,1e-07,127.08743852988098,93.39497465364286,0.16675857872755678,10132.126743302453,0.20264253486604905,9.748404151342699,0.8400718441781445,0.8400718441781445,0.0,ok,2.153842204845656,114.2862679994206
13163000.0,105304.0,0.008,0.00100662823352,7.647407380688293e-11,18.31013358774094,39.201425882266385,20.891292294525446,134.66265329533434,95.46122741306795,95.46122740752939,5.538552727557544e-09,1e-07,132.59640053590925,93.39497465364286,0.1667586018913434,2667857.1276238943,0.20267850244046906,9.748402924860118,0.8400718292016965,0.8400718292016965,0.0,ok,2.153842096464067,114.28626694816832
