c0,t1,t2,control_duration,q_max,cost_J,has_internal_inflection,t_inf,lambda_inf,t2_minus_tinf,background_peak_fraction
3.3337279658074856,281.1962041489077,281.3799629694506,0.18375882054291584,0.3233520687668282,3.312947313240205e-08,False,,,,0.002000028241765678
3.338230946634484,272.2019180967073,278.86168635461536,6.659768257908071,0.3358166560481737,0.0015887882444018387,False,,,,0.002038314013957359
3.342733927461482,267.0938505876087,276.45994217087474,9.366091583266014,0.3410712004134583,0.004439631525298063,False,,,,0.002076875375227917
3.34723690828848,262.7203353787641,274.1465282848634,11.426192906099285,0.34509542281312744,0.008093710961081323,False,,,,0.0021157101950067154
3.351739889115478,258.7573287988412,271.91011939134853,13.15279059250735,0.3484869611043059,0.012392486268484798,False,,,,0.0021548163582741364
3.3562428699424762,255.0766574321299,269.7434919713688,14.666834539238906,0.35147668317312963,0.01724667565659294,False,,,,0.002194191765435262
3.3607458507694745,251.61105898152118,267.64131533426394,16.030256352742764,0.35418266456159864,0.022597429576744148,False,,,,0.002233834332194838
3.3652488315964724,248.31955781174992,265.59934366442883,17.279785852678906,0.3566748504565992,0.028402461404217472,False,,,,0.0022737419894330174
3.3697518124234707,245.17471957268367,263.6140341825874,18.439314609903683,0.3589986844059345,0.03462964935390065,False,,,,0.0023139126830828485
3.374254793250469,242.15692813215125,261.68233792338316,19.525409791231922,0.361185640919244,0.04125361878162138,False,,,,0.0023543443740081486
3.378757774077467,239.25145980962247,259.8015732052164,20.55011339559392,0.3632585699768257,0.04825372984949657,False,,,,0.002395035037883207
3.383260754904465,236.44684267493184,257.9693433767841,21.522500701852262,0.36523467108917496,0.05561280676013682,False,,,,0.0024359826650730554
3.387763735731463,233.73387008642817,256.1834803952134,22.449610308785246,0.36712726727962586,0.06331629161302571,False,,,,0.002477185260515106
3.3922667165584612,231.10497424376612,254.44200439001287,23.337030146246732,0.3689469223199835,0.07135165705614543,False,,,,0.0025186408436018506
3.3967696973854595,228.55381041145415,252.74309364236456,24.189283230910398,0.37070217582467724,0.0797079846490389,False,,,,0.0025603474480645483
