role,c0,initial_Re,background_peak_fraction,background_peak_I,t1,t2,control_duration,clear_time,post_control_tail,cumulative_community,cumulative_quarantine,cumulative_total,s_star,s_c,s_bar,q_max,q_inf,cost_J,has_internal_inflection,t_inf,lambda_inf,t2_minus_tinf,plateau_max_abs_error_I,finite_difference_tinf,finite_difference_qinf,finite_difference_tinf_error,finite_difference_qinf_error
near-trigger,3.4337363710453395,1.1792447783544082,0.0029119738864639283,58.23947772927857,209.9885163519172,240.21181179418204,30.223295442264824,366.5204854202133,126.30867362603124,1223.1986758698226,608.513999870329,1831.7126757401516,0.9310188326885142,0.8480003202253314,0.48809660351702555,0.38336777234169905,0.4119030816278523,0.15940615422824786,False,,,,0.0,,,,
post-inflection,3.593089664693761,1.2339713266803274,0.004595937755896638,91.91875511793276,157.38407528385983,204.9145874344966,47.53051215063679,328.4897320653647,123.5751446308681,1322.2832108488203,698.4469117574666,2020.7301226062868,0.9504258089579797,0.8103915610088145,0.46644955079988304,0.4227481181256265,0.4119030816278523,0.6843062305122379,True,162.51698110803787,0.1079918055145398,42.39760632645874,0.0,162.51737059612861,0.41190225860642604,0.00038948809074668134,8.230214262328062e-07
max-duration,6.6069943801824085,2.2690337234815483,0.04735576916823252,947.1153833646504,28.331818971195236,131.51283539438967,103.18101642319442,223.8170864137454,92.30425101935572,1670.4702443035442,1663.4426988259593,3333.912943129503,0.984944740373262,0.4407162129499836,0.2536698177173015,0.6970745018100525,0.4119030816278523,22.442055637926195,True,108.45569438087668,0.7765369850695726,23.05714101351299,0.0,108.4518782238057,0.41191790950853713,0.003816157070971826,1.4827880684853412e-05
post-ridge,9.0,3.09086134121551,0.07440322097211291,1488.0644194422582,17.181684906131814,115.18501322019702,98.0033283140652,194.92315840445767,79.73814518426065,1538.7018456775686,1997.9185179137987,3536.620363591367,0.9875901513000214,0.323534393579535,0.18622167334223413,0.7782148959616295,0.4119030816278523,33.348022826471365,True,98.25852420915771,0.8272865901370612,16.92648901103931,0.0,98.25493825394227,0.4119220616307503,0.003585955215442027,1.8980002898016934e-05
baseline,12.8872,4.42583869739028,0.10465342493677107,2093.0684987354216,10.481986568952454,95.55307376817449,85.07108719922203,162.9489874670708,67.39591369889631,1321.4350954304143,2287.130968303988,3608.5660637344026,0.9891699216244247,0.22594586428516786,0.1300511406729241,0.8453598853169156,0.4119030816278523,40.76866178591529,True,83.73216611567017,0.8610467076220413,11.820907652504317,0.0,83.72819264748262,0.4119331962356987,0.003973468187552953,3.0114607846409847e-05
