p,K,h,i_pk,K_over_ipk,regime,s1,s_switch,n_roots_D,tau_transversality,M_q1_arc_margin,G4b_min_relD,G1_reachable_frac,G1_gap,q1_arc_rel_len,J_star,J_fillbox,saving_pct
0.16,0.02,0.9375,0.01141732629618468,1.7517236068380901,I_no_control,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16797979797979798,0.02,0.8929645219482862,0.014918961652194904,1.34057587024212,I_no_control,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17595959595959595,0.02,0.8524684270952928,0.020028918525609757,0.9985561614036834,II_direct_q1,0.8595094185614351,0.9241172096456902,1.0,0.023095823463810655,1.365448333752592e-07,0.00018662847226328885,1.0,0.4790375618692199,0.0008768499274419056,0.0013376744155785463,0.0016449209795813527,18.678499928975523
0.18393939393939393,0.02,0.8154859967051071,0.02637439397781427,0.7583112626900049,III_boundary_then_q1,0.9217421618969774,0.8976007151364149,1.0,1.9200639984860906,0.0020780368539900654,0.010917759166106824,0.998,0.5294663014374226,0.08807790624749295,0.264123973205199,0.2701855256992258,2.243477876299949
0.19191919191919193,0.02,0.7815789473684209,0.03366456030243051,0.5940965757558415,III_boundary_then_q1,0.936977259237437,0.8610298444539655,1.0,1.8653377667466222,0.0019469839203493892,0.012939656487186329,0.998,0.6187961961021856,0.0697681155807597,0.5270154005621225,0.5330905825875082,1.139615334395529
0.1998989898989899,0.02,0.7503789792824658,0.04167107660903868,0.47994920284017556,III_boundary_then_q1,0.9454480439875685,0.8273479602931775,1.0,1.813750351744958,0.0018271137985952737,0.014538533381828261,1.0,0.6787886898643885,0.057517776960994235,0.8001921367926397,0.806276298762981,0.7546001264921078
0.20787878787878789,0.02,0.7215743440233235,0.050213677834798465,0.39829785154952035,III_boundary_then_q1,0.9509970640183802,0.7962245069925868,1.0,1.7650294054376545,0.001717202712326313,0.016240813972541415,0.892,0.690968461290303,0.048752689399965195,1.0851180581124698,1.0912070509645964,0.5580052701037909
0.21585858585858586,0.02,0.6948993916705661,0.05914939900803157,0.33812685057517344,III_boundary_then_q1,0.9549561849688761,0.767377594054514,1.0,1.7189341972816674,0.0016162131704794793,0.017514167717853142,0.728,0.6895343580731031,0.0421756520048858,1.3815691434243482,1.3876592603799716,0.43887697286405375
0.22383838383838384,0.02,0.6701263537906137,0.06836443535484821,0.29254977235150464,III_boundary_then_q1,0.9579385890077055,0.7405653495852509,1.0,1.6752510291265739,0.0015231909519580502,0.018460252990844278,0.554,0.690428175229766,0.03706197803066223,1.6889591764535232,1.695047102624188,0.3591597048388659
0.2318181818181818,0.02,0.6470588235294118,0.0777679359148361,0.2571753996647418,III_boundary_then_q1,0.9602727177543504,0.7155790551021999,1.0,1.633789463400528,0.0014373317792343856,0.019752982510282853,0.464,0.6477561679840885,0.03297504087120959,2.006647100910695,2.0127298695266806,0.3022148529755813
0.2397979797979798,0.02,0.6255265374894693,0.08728723070860228,0.22912858888567045,III_boundary_then_q1,0.9621524675407103,0.6922376475891587,1.0,1.5943791520634574,0.0013579309256884452,0.02025579054247085,0.426,0.6001745015181253,0.02963608836236125,2.334021910593494,2.340096864852935,0.25960268357621774
0.24777777777777776,0.02,0.6053811659192825,0.09686413131073823,0.20647477791175758,III_boundary_then_q1,0.9637004638893727,0.6703832811989137,1.0,1.5568672018115481,0.0012843686089125663,0.021234813498219905,0.39,0.5576610354583157,0.026858807880857403,2.670524526330304,2.676589286037943,0.22658536889745637
0.25575757575757574,0.02,0.5864928909952607,0.10645204252841955,0.18787802962691477,III_boundary_then_q1,0.9649983788188037,0.6498777176512729,1.0,1.521115948497126,0.0012160978580588535,0.02209976310904778,0.362,0.5220556019686651,0.024513945480671238,3.0156498168602104,3.02170224916441,0.20029876556742718
0.2637373737373737,0.02,0.5687476062811184,0.11601369219107288,0.1723934444484388,III_boundary_then_q1,0.9661028606272279,0.6305993701813466,1.0,1.4870010510954759,0.0011526343815139077,0.022864721372986133,0.34,0.49082305834918427,0.0225090197664084,3.3689424135483486,3.3749806071987214,0.1789104695148046
0.2717171717171717,0.02,0.5520446096654276,0.1255193356967318,0.15933800070709545,III_boundary_then_q1,0.9670545106196504,0.6124408669704529,1.0,1.4544098903932123,0.0010935480620445747,0.023541274393095623,0.32,0.46477345500258455,0.02077611595308755,3.729990989946103,3.736013232586175,0.16119436054308245
0.27969696969696967,0.02,0.5362946912242688,0.1349453278874031,0.14820816928680763,III_boundary_then_q1,0.9678832288570556,0.5953070305377495,1.0,1.4232402045219936,0.0010384570348294314,0.02413911500316619,0.302,0.4406842494751167,0.01926423900310039,4.098422625220521,4.104427383306154,0.14629953279369237
0.28767676767676764,0.02,0.5214185393258427,0.1442729810812065,0.13862609512963942,III_boundary_then_q1,0.9686115437079033,0.5791131925019437,1.0,1.3933988787818987,0.0009870288155393236,0.024666458937915844,0.286,0.41894737631259643,0.01793435556716218,4.473897764855053,4.479883665851604,0.133617331230702
0.2956565656565656,0.02,0.5073454048513837,0.1534876474518781,0.13030364548567636,III_boundary_then_q1,0.9692567644134888,0.5637837804921217,1.0,1.3648009327238364,0.0009389443672928066,0.025130343902098142,0.27,0.3998589481920338,0.016756082768878383,4.856105882894279,4.862071699457718,0.12270112273548435
0.3036363636363636,0.02,0.49401197604790426,0.16257797834810767,0.12301789088050123,III_boundary_then_q1,0.9698324173264976,0.5492511272540974,1.0,1.3373686404425367,0.0008939287948911942,0.02553685146266357,0.26,0.38364675666249787,0.015705419130920734,5.244761803989334,5.2507064398794725,0.11321592547982418
0.31161616161616157,0.02,0.48136142625607786,0.1715353239432601,0.1165940608630298,III_boundary_then_q1,0.9703492305043357,0.5354544622133126,1.0,1.3110307600095052,0.0008517347256409877,0.025208926572953635,0.248,0.3704888400528219,0.014763154054923738,5.639602599370638,5.645525076880987,0.10490569840177716
0.31959595959595954,0.02,0.46934260429835656,0.18035324476330394,0.11089348587128582,III_boundary_then_q1,0.9708158247528338,0.5223390536780452,1.0,1.285721846179107,0.0008121390539565653,0.02552312691422852,0.238,0.3566737077696175,0.013913730358063951,6.040384965734083,6.046284414452893,0.09757147223686806
0.3275757575757576,0.02,0.45790934320074006,0.18902711284697205,0.10580492765707696,III_boundary_then_q1,0.9712392087620707,0.5098554760552334,1.0,1.2613816653658758,0.0007749401300066023,0.025795531863342325,0.228,0.34229559148092414,0.01314441613101936,6.4468830046894565,6.452758651432437,0.09105635372983077
0.33555555555555555,0.02,0.4470198675496689,0.19755378504570625,0.10123825263774511,III_boundary_then_q1,0.9716251404224499,0.4979589813174192,1.0,1.2379546924180467,0.0007399553239123235,0.026029619099711934,0.22,0.33129611158113503,0.012444692038363172,6.858886332794002,6.864737492570492,0.0852350112851684
0.3435353535353535,0.02,0.43663628344604527,0.20593133463493452,0.09711975127755604,III_boundary_then_q1,0.9719783948275653,0.48660895780986113,1.0,1.2153896330416578,0.0007070189087112668,0.0262093861310851,0.212,0.31988432891080587,0.011805791392088823,7.276198464386371,7.282024532279244,0.08000615580251291
0.3515151515151515,0.02,0.4267241379310345,0.21415883024938087,0.09338863112350147,III_boundary_then_q1,0.9723029659994844,0.4757684625519748,1.0,1.1936390300404487,0.0006759802149288545,0.025824025857133687,0.206,0.3119859461910664,0.011220350331759665,7.6986354201241305,7.704435863979392,0.07528706783556396
0.3594949494949495,0.02,0.41725203708907,0.22223615337073938,0.08999435823853354,III_boundary_then_q1,0.9726022207526086,0.4654038156410818,1.0,1.172658914864183,0.0006467020173528594,0.025586168935794025,0.2,0.3037781125915806,0.010682138540503736,8.126024523031765,8.131798876866965,0.0710095505636107
0.36747474747474745,0.02,0.4081913139087411,0.23016384733319606,0.08689461977513374,III_boundary_then_q1,0.9728790174731559,0.4554842473415526,1.0,1.152408465927169,0.0006190591209319368,0.025484198643381025,0.194,0.2952962028707942,0.010185849666931656,8.558203351102916,8.563951209155151,0.06711689396467294
0.37545454545454543,0.02,0.39951573849878935,0.23794299218124249,0.08405374672587916,III_boundary_then_q1,0.9731357988274549,0.4459815900402715,1.0,1.1328497467841006,0.0005929371180394146,0.02550424943044453,0.19,0.2865703667718281,0.009726936560702051,8.995018821315368,9.000739832659365,0.06356156771955965
0.38343434343434346,0.02,0.39120126448893566,0.24557510079829226,0.08144148138384509,III_boundary_then_q1,0.9733746648540256,0.4368700085485572,1.0,1.1139474480008627,0.0005682312935865136,0.025040492770088674,0.184,0.28151540329840263,0.009301480528561026,9.436326384565971,9.442020248241187,0.060303446990344706
0.39141414141414144,0.02,0.38322580645161286,0.25306203258702925,0.07903200569260387,III_boundary_then_q1,0.9735974311266662,0.42812576329179686,1.0,1.095668651085688,0.0005448456581148896,0.024670284063264658,0.178,0.2723786600488519,0.008906086689616068,9.88198931474669,9.887655775339784,0.05730843307901597
0.3993939393939394,0.02,0.3755690440060698,0.26040592167152576,0.07680316895876071,III_boundary_then_q1,0.9738056754356366,0.4197270017987714,1.0,1.0779826375539385,0.0005226960548127195,0.0243891685561296,0.174,0.26695984079174395,0.00853779954852828,10.331878078155494,10.337516921790833,0.054547370301783055
0.4073737373737374,0.02,0.36821224894619387,0.2676091171440977,0.07473586929114502,III_boundary_then_q1,0.9740007755518265,0.41165357462012386,1.0,1.060860700718468,0.0005016971413062144,0.0241917355514989,0.17,0.2613862581557047,0.008194034372660098,10.785869771821408,10.791480822517684,0.05199518757951682
0.41535353535353536,0.02,0.36113813229571984,0.27467413332529694,0.07281355458511259,III_boundary_then_q1,0.9741839400031496,0.40388687239901666,1.0,1.0442759860701667,0.0004817743221350001,0.02407169991154329,0.166,0.25567215401970844,0.007872521027146626,11.243847621246433,11.24943073760249,0.04963021228616227
0.42333333333333334,0.02,0.3543307086614173,0.28160360836563264,0.0710218172134787,III_boundary_then_q1,0.9743562333289304,0.3964096813101883,1.0,1.0282033346792625,0.000462858896778032,0.024021971895870728,0.162,0.2498300606099953,0.007571257707678699,11.705700529623776,11.71125560180064,0.047433617416825696
0.4313131313131313,0.02,0.3477751756440281,0.28840026980993727,0.06934806272261979,III_boundary_then_q1,0.9745185969363623,0.3892060544947009,1.0,1.0126191511206948,0.0004448874585480835,0.023409887962368474,0.158,0.243871050410801,0.007288472594867675,12.171322671859185,12.176849618829225,0.04538897287105745
0.4392929292929293,0.02,0.3414578063922741,0.29506690598335356,0.06778123738867657,III_boundary_then_q1,0.9746718664286278,0.38226119746177256,1.0,0.9975012925692733,0.00042780141520924655,0.023489264792920118,0.156,0.2417104044144638,0.007022591892439599,12.640613127757959,12.646111894795062,0.04348187872168517
0.44727272727272727,0.02,0.33536585365853655,0.3016063422524242,0.06631160290144478,III_boundary_then_q1,0.9748167860829049,0.37556136571796883,1.0,0.9828289456811955,0.0004115465595423685,0.022987976356749453,0.152,0.23554770629175126,0.00677221304339618,13.113475549592033,13.118946105979743,0.0416996635516054
0.45525252525252524,0.02,0.32948746394497447,0.3080214213741923,0.06493054902082115,III_boundary_then_q1,0.9749540210112795,0.3690937731274633,1.0,0.9685825305014694,0.00039607268392935886,0.022530574791402365,0.15,0.23320323197501253,0.00653608217173012,13.589817859965214,13.595260196902018,0.04003113480714653
