strategy,t,S,I,Sq,Iq,Cc,Cq,c,q,Rt
常规控制,54.783830402121275,166637.05573776667,329.0348029323743,8409208.851714715,46.79890821655595,3105503.319973182,1481650.7715677065,12.8872,0.323,0.056028927054869414
常规控制,54.808821495112596,166636.48834861445,326.75058068289076,8409209.218840033,46.452153801976,3105503.4555517975,1481650.836252925,12.8872,0.323,0.05602873627974272
常规控制,54.83381258810392,166635.92490053986,324.4822164530716,8409209.583415303,46.107998744277225,3105503.590188686,1481650.9004888406,12.8872,0.323,0.05602854682973755
常规控制,54.85880368109524,166635.36536618473,322.2296002728131,8409209.945458228,45.766423341373525,3105503.723890384,1481650.9642785727,12.8872,0.323,0.056028358695655193
常规控制,54.88379477408656,166634.80971836843,319.9926228839731,8409210.304986395,45.42740803096273,3105503.8566633873,1481651.0276252197,12.8872,0.323,0.05602817186835661
常规控制,54.908785867077874,166634.2579300877,317.77117574037175,8409210.662017275,45.0909333905266,3105503.9885141477,1481651.0905318602,12.8872,0.323,0.0560279863387624
常规控制,54.933776960069196,166633.7099745169,315.56515100778887,8409211.016568225,44.75698013733052,3105504.119449076,1481651.1530015524,12.8872,0.323,0.0560278020978529
常规控制,54.95876805306052,166633.16582500775,313.3744415639678,8409211.368656488,44.42552912842402,3105504.2494745385,1481651.2150373347,12.8872,0.323,0.056027619136668066
常规控制,54.98375914605184,166632.6254550895,311.19894099861295,8409211.718299193,44.0965613606404,3105504.3785968614,1481651.2766422245,12.8872,0.323,0.05602743744630755
常规控制,55.00875023904316,166632.08883846883,309.0385436133902,8409212.065513354,43.770057970596866,3105504.5068223276,1481651.3378192193,12.8872,0.323,0.05602725701793066
常规控制,55.03374133203448,166631.5559490299,306.89314442192716,8409212.410315866,43.446000234694495,3105504.6341571775,1481651.3985712968,12.8872,0.323,0.056027077842756394
常规控制,55.058732425025795,166631.0267608344,304.7626391498137,8409212.752723513,43.124369569118315,3105504.7606076086,1481651.458901414,12.8872,0.323,0.0560268999120634
常规控制,55.083723518017116,166630.50124812138,302.64692423459934,8409213.092752963,42.80514752983697,3105504.886179777,1481651.5188125074,12.8872,0.323,0.05602672321719002
常规控制,55.10871461100844,166629.9793853075,300.5458968257972,8409213.430420773,42.48831581260326,3105505.0108797955,1481651.5783074943,12.8872,0.323,0.05602654774953427
常规控制,55.13370570399976,166629.46114698678,298.45945478488125,8409213.765743377,42.17385625295377,3105505.1347137354,1481651.6373892706,12.8872,0.323,0.056026373500553825
常规控制,55.15869679699108,166628.94650793078,296.38749668528726,8409214.098737102,41.861750826208954,3105505.2576876245,1481651.6960607124,12.8872,0.323,0.05602620046176602
常规控制,55.1836878899824,166628.4354430885,294.32992181241246,8409214.429418156,41.55198164747315,3105505.3798074494,1481651.7543246762,12.8872,0.323,0.05602602862474788
常规控制,55.208678982973716,166627.9279275864,292.28663016361634,8409214.757802634,41.24453097163466,3105505.501079153,1481651.8121839971,12.8872,0.323,0.05602585798113611
常规控制,55.23367007596504,166627.42393672845,290.2575224482183,8409215.083906513,40.9393811933654,3105505.621508637,1481651.869641491,12.8872,0.323,0.056025688522627064
常规控制,55.25866116895636,166626.92344599607,288.24250008750107,8409215.407745661,40.636514847121425,3105505.74110176,1481651.926699953,12.8872,0.323,0.056025520240976796
常规控制,55.28365226194768,166626.42643104814,286.24146521470846,8409215.729335826,40.33591460714259,3105505.859864338,1481651.9833621578,12.8872,0.323,0.05602535312800099
常规控制,55.308643354939,166625.93286772107,284.25432067504573,8409216.048692642,40.03756328745261,3105505.9778021458,1481652.0396308606,12.8872,0.323,0.056025187175575066
常规控制,55.33363444793032,166625.4427320285,282.2809700248875,8409216.365831632,39.741443841694114,3105506.094920914,1481652.095508796,12.8872,0.323,0.05602502237563399
常规控制,55.358625540921636,166624.95599994043,280.3213166498978,8409216.68076834,39.44753918226569,3105506.211226385,1481652.1509987032,12.8872,0.323,0.05602485872009809
