strategy,peak_I,peak_time,time_above_eta,clear_time,cleared,final_I,final_S,cum_community_infections,cum_quarantined_infections,cum_total_infections,control_start,control_end,control_duration,J_c,J_q,J,raw_c_cost,raw_q_cost,first_Rt_below_1
TDINN控制,151.90363476994975,21.207692244543836,0.0,45.27247064225558,1.0,1.0000000000000004,13152438.952053841,605.4022667022415,1491.3555719888384,2096.75783869108,0.0,45.27247064225558,45.27247064225558,19.153014791419615,25.147146686751597,49.35392945978424,246.82873221998284,17.024618306930833,21.207692244543836
情景一阈值控制,13163.0,16.20878414341998,0.0,389.321409665459,1.0,0.9999999999999998,2437841.5290784473,808409.7361016723,1485528.9603250897,2293938.6964267623,16.20878414341998,186.83889378060536,170.63010963718537,0.0,73.67536614102272,81.6473269630644,0.0,49.87822287747238,17.0
常规控制,1377549.706167043,22.995160117162072,25.34096829319861,75.57641977089962,1.0,1.0000000000000013,166555.59451973508,3105522.7852716,1481660.058556465,4587182.843828065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.995160117162072
