strategy,peak_I,peak_time,time_above_eta,clear_time,cleared,final_I,final_S,cum_community_infections,cum_quarantined_infections,cum_total_infections,control_start,control_end,control_duration,J_c,J_q,J_total,first_Rt_below_1
TDINN控制,151.90363476994975,21.207692244543836,9.52095593928159,45.27247064225558,1.0,1.0000000000000004,13152438.952053841,605.4022667022415,1491.3555719888384,2096.75783869108,0.0,45.27247064225558,45.27247064225558,246.82873221998284,17.024618306930833,44.300161478171205,21.207692244543836
情景一阈值控制,100.00000000000009,11.378108872262134,0.0,23748.32151735134,1.0,1.0000000000000042,2924758.3321791254,677038.1587881924,1432268.285502301,2109306.4442904936,11.378108872262134,22534.663604727586,22523.285495855325,0.0,6625.690035463416,9786.839047951868,16.0
常规控制,1377549.706167043,22.995160117162072,47.658014334447486,75.57641977089962,1.0,1.0000000000000013,166555.59451973508,3105522.7852716,1481660.058556465,4587182.843828065,0.0,0.0,0.0,0.0,0.0,0.0,22.995160117162072
