valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,platform_error,q_t2_error,cum_decomp_error
1,2.61360787671233,0.155,0.3504,6,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,265.399682062626,761.061722167971,291.93361666777,242.919509677419,0.749799061939557,197.261598364369,196.511799302429,273.937459036155,233.50177590784,0.622266235045295,0.297434136742419,56.3098354163155,45.7325647689284,0.866215931559657,161.504839226746,16.6140112397841,178.98506639809,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,2.289,0.003,0.3,762,1,0.909109697923758,265.399682062626,759.699402851857,291.93361666777,242.919509677419,1.4708579217474,132.332462970472,130.861605048724,264.098645691312,175.45951236745,0.6215888697579,0.297071457491227,37.4497833422246,30.3773523551393,2.12390598370373,161.194551904495,25.6971810387757,189.015638926974,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,3.052,0.004,0.4,762,1,0.909109697923758,265.399682062626,758.3355571656,291.93361666777,242.919509677419,1.98396472971,100.020059699844,98.0360949701339,257.119943829567,144.64097490537,0.620908307726046,0.296707359286589,28.0195788168587,22.6996196631425,3.38300517724524,160.883654826666,32.1399025098554,196.406562513766,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,3.815,0.005,0.5,762,1,0.909109697923758,265.399682062626,756.970174444066,291.93361666777,242.919509677419,2.38313362951822,80.7235894876566,78.3404558581384,251.4528657733,125.441572462072,0.620224522203204,0.296341830896572,22.3613123929947,18.0928784794643,4.6435233582107,160.572143286411,37.3717359073444,202.587402551966,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,4.578,0.006,0.6,762,1,0.909109697923758,265.399682062626,755.603243900698,291.93361666777,242.919509677419,2.71024110410909,67.9199910521081,65.209749947999,246.583927999964,112.252854216339,0.619537486110634,0.295974860951961,18.5890142467704,15.0216327309785,5.90547048472522,160.260012519341,41.8667280355475,208.032211039614,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,5.341,0.007,0.7,762,1,0.909109697923758,265.399682062626,754.234754625583,291.93361666777,242.919509677419,2.98762540999186,58.818057868485,55.8304324584932,242.266600537235,102.585816960247,0.61884717203183,0.295606437943974,15.8944115894654,12.8278126703583,7.1688566287958,159.94725770256,45.8524747966005,212.968589127957,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,6.104,0.008,0.8,762,1,0.909109697923758,265.399682062626,752.864695583482,291.93361666777,242.919509677419,3.22862055285537,52.0243515296949,48.7957309768396,238.359894246843,95.1659982590585,0.618153552206856,0.295236550221922,13.8733680204445,11.1823834224396,8.43369197812892,159.633873953679,49.4591370379386,217.526702969747,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,6.867,0.009,0.9,762,1,0.909109697923758,265.399682062626,751.493055611819,291.93361666777,242.919509677419,3.44182729099236,46.7659325446588,43.3241052536664,234.774217573906,89.2719074631937,0.617456598526553,0.294865185990828,12.3013633114707,9.90254783300848,9.6999868379883,159.319856329807,52.7694254764973,221.789268644292,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,265.399682062626,750.119823418632,291.93361666777,242.919509677419,3.6331182082994,42.5797493292911,38.9466311209917,231.448440332516,84.4636452741747,0.616756282526637,0.294492333308983,11.0436853204285,8.87862760831586,10.9677516330892,159.005199826521,55.8397753589855,225.812726818596,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,8.393,0.011,1.1,762,1,0.909109697923758,265.399682062626,748.744987580471,291.93361666777,242.919509677419,3.80668202257627,39.1715842956935,35.3649022731172,228.33864677716,80.4572505987462,0.616052575381651,0.294117980085458,10.0146081339248,8.04082746940278,12.2369969095335,158.689899376818,58.710729600425,229.637625886776,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,9.156,0.012,1.2,762,1,0.909109697923758,265.399682062626,747.368536540265,291.93361666777,242.919509677419,3.96561156774995,36.3455927248192,32.3799811570693,225.412029407945,77.0609328688014,0.615345447898807,0.293742114077562,9.1569811385871,7.34261722926259,13.5077333367819,158.373949850036,61.4125760090867,233.294259195904,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,9.919,0.013,1.3,762,1,0.909109697923758,265.399682062626,745.990458605135,291.93361666777,242.919509677419,4.11225561302984,33.9663973727836,29.8541417597537,222.643313792989,74.1402975447689,0.61463487051168,0.29336472288824,8.4312385209929,6.75178368054371,14.779971709673,158.057346050757,63.9686478822203,236.80596564265,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,10.682,0.014,1.4,762,1,0.909109697923758,265.399682062626,744.610741944169,291.93361666777,242.919509677419,4.24843992869037,31.9374482721582,27.6890083434678,220.012539321953,71.5982508939116,0.61392081327377,0.292985793963421,7.80911898191338,6.2453173885226,16.0537229504792,157.740082717686,66.3973728092761,240.191178477441,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,11.445,0.015,1.5,762,1,0.909109697923758,265.399682062626,743.229374586138,291.93361666777,242.919509677419,4.37561189853348,30.188050585735,25.8124386872016,217.503615801263,69.3628196119024,0.613203245851929,0.2926053145893,7.26989756485867,5.80634476688744,17.3289981110101,157.422154522502,68.7136052198701,243.464757853382,173.712113090637,NaN,2.74086309204336e-16,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,12.208,0.016,1.6,762,1,0.909109697923758,265.399682062626,741.846344417178,291.93361666777,242.919509677419,4.49493836531599,28.665264477763,24.170326112447,215.103348097126,67.3794662864532,0.612482137519632,0.292223271889567,6.79803054891765,5.42221062510293,18.6058083747579,157.103556068685,70.9295268311016,246.638891274545,173.712113090637,NaN,2.74086309204336e-16,0
