R0,beta,gamma,c0,q0,N,eta,eta_frac,S0,I0,S_star,S_c,t1,t2,Delta_t,c_min,c_min_ratio,u_max,c_avg,J_c,Imax_pre,feasible
3.5,0.0368421052631579,0.1,10,0.05,763,15.26,0.02,755.37,0.763,705.172032912623,218,12.4872261434399,143.94217296282,131.45494681938,3.09144421255022,0.309144421255022,0.690855578744978,5.25318305524428,62.3992569034196,110.481266034618,1
3.5,0.0368421052631579,0.1,10,0.05,763,19.075,0.025,755.37,0.763,691.702820472043,218,13.4992654730913,115.755675720699,102.256410247608,3.15164249079148,0.315164249079148,0.684835750920852,5.31379935920871,47.9194055227357,110.481266034618,1
3.5,0.0368421052631579,0.1,10,0.05,763,22.89,0.03,755.37,0.763,678.111764181106,218,14.3501934953869,97.1189943914304,82.7688008960434,3.21480929125686,0.321480929125686,0.678519070874314,5.37673968274492,38.2661712689464,110.481266034618,1
3.5,0.0368421052631579,0.1,10,0.05,763,26.705,0.035,755.37,0.763,664.390350602365,218,15.0913615721227,83.9203416973814,68.8289801252587,3.28120358464496,0.328120358464495,0.671879641535505,5.44218091162755,31.3710039448112,110.481266034618,1
3.5,0.0368421052631579,0.1,10,0.05,763,30.52,0.04,755.37,0.763,650.52906589232,218,15.7535666524037,74.1088102968074,58.3552436444037,3.35111851921594,0.335111851921594,0.664888148078406,5.51032146976181,26.1996284517098,110.481266034618,1
3.5,0.0368421052631579,0.1,10,0.05,763,34.335,0.045,755.37,0.763,636.517224951857,218,16.3568226929726,66.5477712990597,50.1909486060871,3.42488767710078,0.342488767710078,0.657511232289922,5.58138506472832,22.1774475126309,110.481266034618,1
3.5,0.0368421052631579,0.1,10,0.05,763,38.15,0.05,755.37,0.763,622.342761298775,218,16.9149524510866,60.5569126560272,43.6419602049406,3.50289283585549,0.350289283585549,0.649710716414451,5.65562530364494,18.9597027613679,110.481266034618,1
