R0,beta,gamma,c0,q0,N,eta,eta_frac,S0,I0,S_star,S_c,t1,t2,Delta_t,c_min,c_min_ratio,u_max,c_avg,J_c,Imax_pre,feasible
2.1,0.0368421052631579,0.1,6,0.05,763,38.15,0.05,755.37,0.763,547.903712172022,363.333333333333,42.0848723860652,62.0061221258049,19.9212497397397,3.97880129586631,0.663133549311051,0.336866450688949,4.85179668599039,3.81227416173037,52.6938259270013,1
2.45,0.0368421052631579,0.1,7,0.05,763,38.15,0.05,755.37,0.763,584.942581539626,311.428571428571,30.4242007749281,59.945410716758,29.5212099418299,3.72686152247974,0.532408788925677,0.467591211074323,5.02405427638705,8.33318693434844,69.9411081545393,1
2.8,0.0368421052631579,0.1,8,0.05,763,38.15,0.05,755.37,0.763,603.33077992584,272.5,23.9820743469209,59.6896598758837,35.7075855289628,3.61327496049175,0.451659370061469,0.548340629938531,5.23748980396995,12.3303211374219,85.1901751392644,1
3.15,0.0368421052631579,0.1,9,0.05,763,38.15,0.05,755.37,0.763,614.629785147166,242.222222222222,19.8289013145057,60.0239971509811,40.1950958364753,3.54685056383661,0.394094507092956,0.605905492907044,5.45085246230303,15.8509250461689,98.6212790511343,1
3.5,0.0368421052631579,0.1,10,0.05,763,38.15,0.05,755.37,0.763,622.342761298775,218,16.9149524510866,60.5569126560272,43.6419602049406,3.50289283585549,0.350289283585549,0.649710716414451,5.65562530364494,18.9597027613679,110.481266034618,1
3.85,0.0368421052631579,0.1,11,0.05,763,38.15,0.05,755.37,0.763,627.963842614129,198.181818181818,14.753312860984,61.1410111267488,46.3876982657648,3.47153745496708,0.315594314087916,0.684405685912084,5.84991660181473,21.7182286107766,121.005042150113,1
4.2,0.0368421052631579,0.1,12,0.05,763,38.15,0.05,755.37,0.763,632.250499819993,181.666666666667,13.0843016518016,61.7172032333803,48.6329015815787,3.44800043751751,0.287333369793126,0.712666630206874,6.03373741082467,24.1797217757682,130.395638574556,1
4.55,0.0368421052631579,0.1,13,0.05,763,38.15,0.05,755.37,0.763,635.631095468383,167.692307692308,11.7560101416035,62.2620854547255,50.506075313122,3.42966229239242,0.263820176337878,0.736179823662122,6.20769842695202,26.3886534459845,138.822712896431,1
