eta,eta_fraction,c0,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,q_start,q_mean_control,q_min_theory,q_max_theory,J_q,J_total,w_c,w_q,C2,C2_daily,plateau_max_error,q_was_clipped,status,S_star,Sc,Sbar,strategy
100.0,7.597052343690648e-06,12.8872,11.378062781921809,22534.663558637247,22523.285495855325,23748.32147126102,100.0,2109306.4442905914,0.8470283667848927,0.6171706717080123,0.323,0.8470283667848927,6625.690023387093,9786.839030113873,1.0,1.0,5442.323814511194,0.24163099186895604,0.0,0.0,ok,13162459.348343061,2974125.4115856644,1711863.1646776996,情景一阈值控制
100.0,7.597052343690648e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,1.0,30.19670066954218,0.6669991772297433,,,fixed_reference,,,,TDINN控制
100.0,7.597052343690648e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,1.0,0.0,0.0,,,routine,,,,常规控制
100.0,7.597052343690648e-06,12.8872,11.378062781921809,22534.663558637247,22523.285495855325,23748.32147126102,100.0,2109306.4442905914,0.8470283667848927,0.6171706717080123,0.323,0.8470283667848927,6625.690023387093,9786.839030113873,1.0,2.0,10884.647629022387,0.48326198373791207,0.0,0.0,ok,13162459.348343061,2974125.4115856644,1711863.1646776996,情景一阈值控制
100.0,7.597052343690648e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,2.0,49.35392945978424,1.0901532158423708,,,fixed_reference,,,,TDINN控制
100.0,7.597052343690648e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,2.0,0.0,0.0,,,routine,,,,常规控制
100.0,7.597052343690648e-06,12.8872,11.378062781921809,22534.663558637247,22523.285495855325,23748.32147126102,100.0,2109306.4442905914,0.8470283667848927,0.6171706717080123,0.323,0.8470283667848927,6625.690023387093,9786.839030113873,1.0,5.0,27211.619072555968,1.2081549593447802,0.0,0.0,ok,13162459.348343061,2974125.4115856644,1711863.1646776996,情景一阈值控制
100.0,7.597052343690648e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,5.0,106.82561583051039,2.3596153316802524,,,fixed_reference,,,,TDINN控制
100.0,7.597052343690648e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,5.0,0.0,0.0,,,routine,,,,常规控制
100.0,7.597052343690648e-06,12.8872,11.378062781921809,22534.663558637247,22523.285495855325,23748.32147126102,100.0,2109306.4442905914,0.8470283667848927,0.6171706717080123,0.323,0.8470283667848927,6625.690023387093,9786.839030113873,1.0,10.0,54423.238145111936,2.4163099186895605,0.0,0.0,ok,13162459.348343061,2974125.4115856644,1711863.1646776996,情景一阈值控制
100.0,7.597052343690648e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,10.0,202.61175978172065,4.475385524743389,,,fixed_reference,,,,TDINN控制
100.0,7.597052343690648e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,10.0,0.0,0.0,,,routine,,,,常规控制
112.34493440205146,8.534903472008771e-06,12.8872,11.49311483363031,20059.77217554236,20048.27906070873,21227.511744298143,112.34493440205146,2110366.7453672527,0.8470275910936724,0.6171706745872177,0.323,0.8470275910936724,5897.61577560148,8711.39700975108,1.0,1.0,4844.280602901328,0.24163074487502056,0.0,0.0,ok,13162392.604253545,2974125.4115856644,1711863.1646776996,情景一阈值控制
112.34493440205146,8.534903472008771e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,1.0,30.19670066954218,0.6669991772297433,,,fixed_reference,,,,TDINN控制
112.34493440205146,8.534903472008771e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,1.0,0.0,0.0,,,routine,,,,常规控制
112.34493440205146,8.534903472008771e-06,12.8872,11.49311483363031,20059.77217554236,20048.27906070873,21227.511744298143,112.34493440205146,2110366.7453672527,0.8470275910936724,0.6171706745872177,0.323,0.8470275910936724,5897.61577560148,8711.39700975108,1.0,2.0,9688.561205802656,0.48326148975004113,0.0,0.0,ok,13162392.604253545,2974125.4115856644,1711863.1646776996,情景一阈值控制
112.34493440205146,8.534903472008771e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,2.0,49.35392945978424,1.0901532158423708,,,fixed_reference,,,,TDINN控制
112.34493440205146,8.534903472008771e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,2.0,0.0,0.0,,,routine,,,,常规控制
112.34493440205146,8.534903472008771e-06,12.8872,11.49311483363031,20059.77217554236,20048.27906070873,21227.511744298143,112.34493440205146,2110366.7453672527,0.8470275910936724,0.6171706745872177,0.323,0.8470275910936724,5897.61577560148,8711.39700975108,1.0,5.0,24221.403014506643,1.208153724375103,0.0,0.0,ok,13162392.604253545,2974125.4115856644,1711863.1646776996,情景一阈值控制
112.34493440205146,8.534903472008771e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,5.0,106.82561583051039,2.3596153316802524,,,fixed_reference,,,,TDINN控制
112.34493440205146,8.534903472008771e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,5.0,0.0,0.0,,,routine,,,,常规控制
112.34493440205146,8.534903472008771e-06,12.8872,11.49311483363031,20059.77217554236,20048.27906070873,21227.511744298143,112.34493440205146,2110366.7453672527,0.8470275910936724,0.6171706745872177,0.323,0.8470275910936724,5897.61577560148,8711.39700975108,1.0,10.0,48442.806029013285,2.416307448750206,0.0,0.0,ok,13162392.604253545,2974125.4115856644,1711863.1646776996,情景一阈值控制
112.34493440205146,8.534903472008771e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,10.0,202.61175978172065,4.475385524743389,,,fixed_reference,,,,TDINN控制
112.34493440205146,8.534903472008771e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,10.0,0.0,0.0,,,routine,,,,常规控制
126.21384285801246,9.588531706906667e-06,12.8872,11.608170784652245,17856.844923638855,17845.2367528542,18979.999660454327,126.21384285801246,2111489.999108647,0.8470267196331268,0.6171708634946608,0.323,0.8470267196331268,5249.548704853775,7754.133980581648,1.0,1.0,4311.956685646756,0.2416306796802286,0.0,0.0,ok,13162317.620532114,2974125.4115856644,1711863.1646776996,情景一阈值控制
126.21384285801246,9.588531706906667e-06,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,1.0,30.19670066954218,0.6669991772297433,,,fixed_reference,,,,TDINN控制
126.21384285801246,9.588531706906667e-06,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,1.0,0.0,0.0,,,routine,,,,常规控制
126.21384285801246,9.588531706906667e-06,12.8872,11.608170784652245,17856.844923638855,17845.2367528542,18979.999660454327,126.21384285801246,2111489.999108647,0.8470267196331268,0.6171708634946608,0.323,0.8470267196331268,5249.548704853775,7754.133980581648,1.0,2.0,8623.913371293513,0.4832613593604572,0.0,0.0,ok,13162317.620532114,2974125.4115856644,1711863.1646776996,情景一阈值控制
