strategy,t,S,I,Sq,Iq,Cc,Cq,c,q,Rt
情景一阈值控制,18.725850648458806,12500844.918872848,26326.00000000399,521940.5715081404,61979.927243901686,48251.79676585984,91962.71184652952,12.8872,0.8389322548426921,1.0000000000002707
情景一阈值控制,18.750849495701353,12493895.490252068,26326.000000004045,527683.7455296032,62442.690604526295,48446.13949924532,92974.62371246121,12.8872,0.838842664786576,1.0000000000002702
情景一阈值控制,18.7758483429439,12486950.537916377,26326.0000000041,533423.113813483,62900.71948932997,48640.4822326308,93985.86503088653,12.8872,0.8387530328137252,1.0000000000002705
情景一阈值控制,18.800847190186445,12480010.058982499,26326.000000004155,539158.6788111421,63354.05593607642,48834.824966016284,94996.43623372038,12.8872,0.8386633589133342,1.0000000000002698
情景一阈值控制,18.825846037428988,12473074.050569015,26326.00000000421,544890.4429723629,63802.74161281464,49029.16769940174,96006.3377525993,12.8872,0.8385736430746048,1.00000000000027
情景一阈值控制,18.850844884671535,12466142.509796357,26326.000000004264,550618.4087453521,64246.81782112817,49223.51043278722,97015.57001888227,12.8872,0.8384838852867461,1.0000000000002702
情景一阈值控制,18.87584373191408,12459215.433786819,26326.00000000432,556342.5785767371,64686.32549935494,49417.853166172696,98024.13346364995,12.8872,0.8383940855389748,1.0000000000002698
情景一阈值控制,18.900842579156627,12452292.819664543,26326.000000004373,562062.9549115704,65121.3052257795,49612.19589955818,99032.02851770552,12.8872,0.8383042438205144,1.0000000000002693
情景一阈值控制,18.925841426399174,12445374.664555531,26326.000000004427,567779.5401933296,65551.79722179862,49806.53863294366,100039.25561157463,12.8872,0.8382143601205961,1.0000000000002696
情景一阈值控制,18.95084027364172,12438460.965587625,26326.000000004482,573492.336863918,65977.84135505775,50000.88136632914,101045.81517550562,12.8872,0.8381244344284586,1.0000000000002693
情景一阈值控制,18.975839120884267,12431551.719890527,26326.000000004537,579201.3473636663,66399.47714255941,50195.22409971462,102051.70763946974,12.8872,0.8380344667333477,1.0000000000002698
