strategy,peak_I,peak_time,time_above_eta,clear_time,cleared,final_I,final_S,cum_community_infections,cum_quarantined_infections,cum_total_infections,control_start,control_end,control_duration,J_c,J_q,J,raw_c_cost,raw_q_cost,first_Rt_below_1
TDINN控制,151.90363476994975,21.207692244543836,0.0,45.27247064225558,1.0,1.0000000000000004,13152438.952053841,605.4022667022415,1491.3555719888384,2096.75783869108,0.0,45.27247064225558,45.27247064225558,19.153014791419615,25.147146686751597,49.35392945978424,246.82873221998284,17.024618306930833,21.207692244543836
情景一阈值控制,26326.000000026608,36.1750460237559,0.0,258.1090647631961,1.0,0.9999999999999994,2236331.0556354695,871710.3316239252,1506232.8000377594,2377943.1316616847,16.90093479975295,101.9720119661369,85.07107716638396,0.0,36.80227197725377,40.76865066196469,0.0,24.915138128600802,36.750019510334454
常规控制,1377549.706167043,22.995160117162072,22.142108390309637,75.57641977089962,1.0,1.0000000000000013,166555.59451973508,3105522.7852716,1481660.058556465,4587182.843828065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.995160117162072
