eta,eta_fraction,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,J_q,J_total,q_start,q_min_control,q_max_control
100.0,7.597052343690648e-06,11.378108872262134,22534.663604727586,22523.285495855325,23748.32151735134,100.00000000000009,2109306.4442904936,6625.690035463416,9786.839047951868,0.8470283667848927,0.32299999999999995,0.8470283667848927
300.0,2.2791157031071945e-05,12.464174326945239,7519.904472670211,7507.4402983432665,8352.50715942,300.0,2122234.3960376116,2208.3087752939955,3261.903656268826,0.847015798718996,0.32299999999999995,0.847015798718996
520.0,3.950467218719137e-05,13.008001694133222,4344.01948288013,4331.011481185998,5027.379143376616,520.0000000000003,2131901.535191808,1273.7384416912,1881.4452609914329,0.847001971112734,0.32299999999999973,0.847001971112734
1000.0,7.597052343690648e-05,13.654649365465161,2265.5490385920853,2251.89438922662,2802.857135579367,1000.0,2147442.300606957,662.2673084627213,978.2382695165749,0.8469717918443838,0.32299999999999995,0.8469717918443838
1300.0,9.876168046797843e-05,13.914149686274785,1746.0292401967788,1732.115090510504,2233.2594471465745,1300.0,2155251.7139773043,509.4251414920593,752.4743596633076,0.8469529228717098,0.3230000000000002,0.8469529228717098
2600.0,0.00019752336093595686,14.599997191345807,880.4161420677883,865.8161448764425,1255.6388497667688,2600.000000000002,2181561.3831444066,254.49254410396853,375.9121774061573,0.8468710956580033,0.3230000000000002,0.8468710956580033
3200.0,0.00024310567499810073,14.805560611559898,718.1906021719201,703.3850415603602,1064.9751802196813,3200.0,2191389.012181315,206.76193263845315,305.4090585501523,0.8468332954160349,0.32299999999999995,0.8468332954160349
5000.0,0.0003798526171845324,15.247654669050998,465.2400511486407,449.99239647958973,757.8433655133841,5000.0,2216307.7865579645,132.0720311166354,195.08424094037724,0.8467197662266694,0.32299999999999995,0.8467197662266694
6500.0,0.0004938084023398921,15.507786986059696,361.5441171136041,346.03633012754443,626.3041843315275,6500.0,2233777.607927292,101.5580377089718,150.0118725391016,0.8466250110753928,0.32299999999999995,0.8466250110753928
10000.0,0.0007597052343690648,15.93545378937495,240.6894543835374,224.75400059416245,465.4105711592824,10000.000000000005,2267946.5226685284,65.99072868949624,97.47522701550402,0.8464033924503473,0.32299999999999995,0.8464033924503473
13163.0,0.001,16.20878414341998,186.83889378060536,170.63010963718537,389.321409665459,13163.0,2293938.6964267623,49.87822287747238,73.67536614102272,0.8462024797009858,0.32299999999999973,0.8462024797009858
15000.0,0.0011395578515535972,16.33889164651539,166.01294495572307,149.6740533092077,358.74475761526753,15000.00000000001,2307611.5897943056,43.747330763104365,64.61939551418664,0.846085517031081,0.32299999999999995,0.846085517031081
20000.0,0.0015194104687381296,16.62591075456968,128.75962658880945,112.13371583423978,301.7350416251928,20000.0,2341088.1696254574,32.778584413011245,48.4174068139014,0.8457661282708586,0.32299999999999995,0.8457661282708586
26326.0,0.002,16.90093479975295,101.9720119661369,85.07107716638396,258.10902419629383,26326.00000000001,2377943.131666154,24.888936235822754,36.763569033711605,0.8453598505859481,0.32300000000000006,0.8453598505859481
