strategy,peak_I,peak_time,time_above_eta,clear_time,cleared,final_I,final_S,cum_community_infections,cum_quarantined_infections,cum_total_infections,control_start,control_end,control_duration,J_c,J_q,J,raw_c_cost,raw_q_cost,first_Rt_below_1
TDINN控制,151.90363476994975,21.207692244543836,0.0,45.27247064225558,1.0,1.0000000000000004,13152438.952053841,605.4022667022415,1491.3555719888384,2096.75783869108,0.0,45.27247064225558,45.27247064225558,19.153014791419615,25.147146686751597,49.35392945978424,246.82873221998284,17.024618306930833,21.207692244543836
情景一阈值控制,5000.0,16.0,0.0,757.8433655133841,1.0,1.0000000000000013,2635170.9381921943,751868.9640671967,1464438.8224907678,2216307.7865579645,15.247654669050998,465.2400511486407,449.99239647958973,0.0,195.08424094037724,216.6835866715317,0.0,132.0720311166354,16.0
常规控制,1377549.706167043,22.995160117162072,29.789382845653595,75.57641977089962,1.0,1.0000000000000013,166555.59451973508,3105522.7852716,1481660.058556465,4587182.843828065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.995160117162072
