valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,q_t2_error
1,2.61360787671233,0.155,0.3504,6,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,265.399682062626,761.061722167971,291.93361666777,242.919509677419,0.749799061939557,197.261598364369,196.511799302429,273.937459036156,233.501775907839,0.622266235045295,0.297434136742419,56.3098354163155,45.7325647689284,0.866215931559657,161.504839226746,16.6140112397839,178.98506639809,173.712113090637,2.74086309204336e-16
1,2.65716800799087,0.155,0.3504,6.1,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,261.048867602583,761.071191450376,287.147819673216,238.937222633527,0.730060695279137,196.004269524036,195.274208828757,269.302921955928,231.949551723414,0.628463214582942,0.300765837984562,56.615885034046,46.5059519765765,0.857473911872984,161.688924639529,16.4743684355705,179.020766986972,177.922230922984,2.74086309204336e-16
1,2.70072813926941,0.155,0.3504,6.2,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,256.83840199609,761.080174876232,282.516403226874,235.083396462019,0.711335017667993,194.741718599593,194.030383581925,264.819090714581,230.399269706162,0.634460058089315,0.304013962808416,56.8952638915023,47.248341627,0.849180433831333,161.846188700222,16.3381181145405,179.033487248594,182.065571805602,5.20417042793042e-17
1,2.74428827054794,0.155,0.3504,6.3,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,252.761601964406,761.088708907829,278.032015874066,231.351913978495,0.693546034509787,193.476266636352,192.782720601842,260.478760267887,228.852965457584,0.640266313102032,0.307182115845412,57.1496432525587,47.9608483488676,0.841301835534273,161.978859591187,16.2051251109049,179.025286537626,186.143141450649,5.20417042793042e-17
1,2.78784840182648,0.155,0.3504,6.4,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,248.812201933712,761.096826447538,273.687765626034,227.737040322581,0.676625170227707,192.209952046272,191.533326876045,256.275176998896,227.312407618091,0.64589092877901,0.310273681969045,57.3805796265843,48.6445581735409,0.833807741587901,162.088962671335,16.0752616801269,178.998032093049,190.155983832306,5.20417042793042e-17
1,2.83140853310502,0.155,0.3504,6.5,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,244.984321903963,761.104557261965,269.477184616403,224.233393548387,0.660510384384301,190.944564258413,190.284053874029,252.202003933083,225.779130428247,0.651342302122335,0.313291843593299,57.5895235112654,49.3005268537174,0.826670671530317,162.178341623772,15.9484069831544,178.953419278457,194.105172068437,2.74086309204336e-16
1,2.87496866438356,0.155,0.3504,6.6,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,241.272438238751,761.111928346866,265.3941969707,220.835917888563,0.645145411234448,189.681673049115,189.036527637881,248.253289119845,224.254462060746,0.656628319973166,0.316239596303315,57.7778274214817,49.9297787196744,0.819865702942652,162.248677088449,15.8244466137557,178.892989405148,197.99180059548,5.20417042793042e-17
1,2.9185287956621,0.155,0.3504,6.7,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,237.671357071008,761.118964242254,261.433089553226,217.539859412614,0.630479103058511,188.422654160191,187.792175057132,244.423436849134,222.7395493228,0.661756397223728,0.319119763008508,57.9467532624982,50.5333059756664,0.813370180539914,162.30150311701,15.7032721648411,178.818145462391,201.816978460191,5.20417042793042e-17
1,2.96208892694064,0.155,0.3504,6.8,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,234.176190055258,761.125687305461,257.588485295091,214.340743833017,0.616464861119682,187.168711719501,186.552246858382,240.707181411179,221.235379235068,0.666733511639205,0.321935006783296,58.0974791018272,51.1120683552776,0.807163464084948,162.338221736677,15.5847808299272,178.730166030689,205.581823576828,5.20417042793042e-17
1,3.00564905821918,0.155,0.3504,6.9,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,230.782332228371,761.132117948553,253.855318841539,211.234356241234,0.603060140896645,185.920897900263,185.317837759366,237.099563140852,219.742797916873,0.671566235636224,0.324687842539313,58.2311053901854,51.6669930680704,0.801226709206772,162.360115867939,15.4688750365936,178.630217613739,209.287457819565,5.20417042793042e-17
1,3.04920918949772,0.155,0.3504,7,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,227.485441767965,761.138274845407,250.22881428666,208.216722580645,0.59022602052428,184.680130190243,184.089904169719,233.595906518208,218.262527142202,0.676260765324549,0.327380647654795,58.3486606781097,52.1989749811579,0.79554267622426,162.368360805502,15.3554621087501,178.519365590477,212.935002838053,5.20417042793042e-17
