valid,status_code,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,q_t2_error
1,ok,1.45796951457893,0.155,0.3504,3.34702736604755,0.01526,763,38.15,0.05,5,762,1,0.909109697923758,475.764885739848,559.1495968479,523.33055826641,435.466131185439,29.9176318728872,31.9608215040184,2.0431896311312,342.816549997832,71.469030159337,0.0783422954207207,0.0457011879873532,0.0631609558412126,0.00530308273187993,187.271024568229,28.6313249669465,166.650116302835,382.552465838011,39.2160179406342,5.20417042793042e-17
1,ok,1.74240525114155,0.155,0.3504,4,0.01526,763,38.15,0.05,5,762,1,0.909109697923758,398.099523093939,654.627341108563,437.900425001654,364.379264516129,15.36974098123,22.2355546376421,6.86581365641212,274.925159526582,58.7277162448334,0.341277032844529,0.163087727642741,1.03068589805015,0.43739772511067,99.126191167278,111.147236039846,150.458389387135,360.73181659426,75.1128408960959,2.74086309204336e-16
1,ok,2.17800656392694,0.155,0.3504,5,0.01526,763,38.15,0.05,5,762,1,0.909109697923758,318.479618475151,682.574245680763,350.320340001323,291.503411612903,9.30386095498309,16.8816969295602,7.57783597457716,207.186905353198,49.9657486438822,0.494597908145737,0.233244631209358,1.67744966212727,1.05610315803947,73.3256732909483,137.096750650562,132.140456908166,342.562880849676,127.771917592718,2.74086309204336e-16
1,ok,3.4848105022831,0.155,0.3504,8,0.01526,763,38.15,0.05,5,762,1,0.909109697923758,199.04976154697,703.712524909041,218.950212500827,182.189632258065,4.30734699274258,10.9381647157218,6.63081772297921,110.919457001467,38.0095305194967,0.693612058011994,0.337501933368532,2.16983927012932,2.00058594624686,53.8108626365138,150.038265459503,99.7337444386319,303.582872534649,246.456434349588,2.74086309204336e-16
1,ok,4.35601312785388,0.155,0.3504,10,0.01526,763,38.15,0.05,5,762,1,0.909109697923758,159.239809237576,708.346957587432,175.160170000662,145.751705806452,3.17540679563614,9.07796264677616,5.90255585114002,81.0587473544379,33.7731827191148,0.756493306057348,0.376844128678536,2.1673441866999,2.22361570293535,49.5323650713689,149.317789829867,86.8742164592729,285.724371360508,300.380128899381,2.74086309204336e-16
1,ok,5.22721575342466,0.155,0.3504,12,0.01526,763,38.15,0.05,5,762,1,0.909109697923758,132.699841031313,711.030352732804,145.966808333885,121.45975483871,2.51504308955457,7.81576558599926,5.3007224964447,62.112683722206,30.7687209107712,0.797843574066486,0.405723662070914,2.10181318681426,2.3109856605791,47.0550608590702,147.46052368625,77.4139345364101,271.92951908173,341.746330782662,2.74086309204336e-16
