valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,q_t2_error
1,2.61360787671233,0.155,0.3504,6,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,265.399682062626,761.061722167971,291.93361666777,242.919509677419,0.749799061939557,197.261598364369,196.511799302429,273.937459036156,233.501775907839,0.622266235045295,0.297434136742419,56.3098354163155,45.7325647689284,0.866215931559657,161.504839226746,16.6140112397839,178.98506639809,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,1.6786,0.0022,0.22,762,1,0.909109697923758,265.399682062626,760.789379906465,291.93361666777,242.919509677419,0.919112695461315,179.526373338431,178.60726064297,271.551841700788,218.144101026339,0.622131016454563,0.297361713873879,51.1662107131836,41.544797921682,1.11764167956418,161.442830318722,18.8164076643405,181.376879662627,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,1.8312,0.0024,0.24,762,1,0.909109697923758,265.399682062626,760.516976928369,291.93361666777,242.919509677419,1.0737738153174,164.760558223716,163.686784408399,269.434316756721,205.067178975089,0.621995670841551,0.297289234603155,46.8798449553714,38.054983808538,1.36912348098467,161.380797169642,20.7713018112693,183.521222461896,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,1.9838,0.0026,0.26,762,1,0.909109697923758,265.399682062626,760.244513149509,291.93361666777,242.919509677419,1.21613104352809,152.277871810916,151.061740767388,267.513463028724,193.815133184769,0.621860197995426,0.29721669884169,43.2529091415518,35.1020564081253,1.62066141352948,161.318739742393,22.5446295448995,185.484030700822,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,2.1364,0.0028,0.28,762,1,0.909109697923758,265.399682062626,759.971988485523,291.93361666777,242.919509677419,1.34801000135813,141.58826127025,140.240251268892,265.744859356835,184.036135368305,0.621724597704833,0.29714410650071,40.1440968421783,32.5709685623148,1.87225555508279,161.256657999774,24.1774003777059,187.306313932563,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,2.289,0.003,0.3,762,1,0.909109697923758,265.399682062626,759.699402851857,291.93361666777,242.919509677419,1.4708579217474,132.332462970472,130.861605048724,264.098645691312,175.459512367449,0.6215888697579,0.297071457491227,37.4497833422246,30.3773523551393,2.12390598370373,161.194551904495,25.6971810387755,189.015638926974,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,2.4416,0.0032,0.32,762,1,0.909109697923758,265.399682062626,759.426756163768,291.93361666777,242.919509677419,1.58584149470729,124.241110453367,122.655268958659,262.553605757148,167.87545373644,0.621453013942236,0.296998751724038,35.0922501053971,28.4579318496174,2.37561277762732,161.132421419173,27.1235583442859,190.631592541087,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,2.5942,0.0034,0.34,762,1,0.909109697923758,265.399682062626,759.154048336321,291.93361666777,242.919509677419,1.69391499741341,117.108279706212,115.414364708798,261.094023471582,161.119560360584,0.621317030044922,0.296925989109725,33.0120653098017,26.7643195645224,2.62737601526536,161.070266506338,28.4710413456119,192.168683867215,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,2.7468,0.0036,0.36,762,1,0.909109697923758,265.399682062626,758.881279284389,291.93361666777,242.919509677419,1.79586892097522,110.773855883453,108.977986962478,259.707872349347,155.061521753094,0.621180917852518,0.29685316955865,31.1630042050547,25.2588807922284,2.87919577520719,161.008087128426,29.7507328662276,193.638015769861,173.712113090637,2.74086309204336e-16
1,2.61360787671233,0.155,0.3504,6,0.01526,763,2.8994,0.0038,0.38,762,1,0.909109697923758,265.399682062626,758.608448922653,291.93361666777,242.919509677419,1.89236543236913,105.111470623053,103.219105190684,258.385705977187,149.596874414854,0.621044677151058,0.296780292980962,29.5085735671487,23.911903921447,3.13107213621884,160.945883247784,30.9713538130762,195.048309197079,173.712113090637,2.74086309204336e-16
