eta_frac,eta_percent,eta,c0,code,message
0.0244,2.44,18.6172,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0246,2.46,18.7698,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0248,2.48,18.9224,2.3,threshold_not_reached,Background peak does not exceed eta.
0.025,2.5,19.075,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0252,2.52,19.2276,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0254,2.54,19.3802,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0256,2.56,19.5328,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0258,2.58,19.6854,2.3,threshold_not_reached,Background peak does not exceed eta.
0.026,2.6,19.838,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0262,2.62,19.9906,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0264,2.64,20.1432,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0266,2.66,20.2958,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0268,2.68,20.4484,2.3,threshold_not_reached,Background peak does not exceed eta.
0.027,2.7,20.601,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0272,2.72,20.7536,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0274,2.74,20.9062,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0276,2.76,21.0588,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0278,2.78,21.2114,2.3,threshold_not_reached,Background peak does not exceed eta.
0.028,2.8,21.364,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0282,2.82,21.5166,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0284,2.84,21.6692,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0286,2.86,21.8218,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0288,2.88,21.9744,2.3,threshold_not_reached,Background peak does not exceed eta.
0.029,2.9,22.127,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0292,2.92,22.2796,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0294,2.94,22.4322,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0296,2.96,22.5848,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0298,2.98,22.7374,2.3,threshold_not_reached,Background peak does not exceed eta.
0.03,3,22.89,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0302,3.02,23.0426,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0304,3.04,23.1952,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0306,3.06,23.3478,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0308,3.08,23.5004,2.3,threshold_not_reached,Background peak does not exceed eta.
0.031,3.1,23.653,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0312,3.12,23.8056,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0314,3.14,23.9582,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0316,3.16,24.1108,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0318,3.18,24.2634,2.3,threshold_not_reached,Background peak does not exceed eta.
0.032,3.2,24.416,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0322,3.22,24.5686,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0324,3.24,24.7212,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0326,3.26,24.8738,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0328,3.28,25.0264,2.3,threshold_not_reached,Background peak does not exceed eta.
0.033,3.3,25.179,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0332,3.32,25.3316,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0334,3.34,25.4842,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0336,3.36,25.6368,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0338,3.38,25.7894,2.3,threshold_not_reached,Background peak does not exceed eta.
