valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,q_t2_error
1,4.35601312785388,0.155,0.3504,10,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,159.239809237576,761.248604134197,175.160170000662,145.751705806452,0.360239320768623,152.417608104118,152.057368783349,161.306289722028,180.582058241729,0.773415379851331,0.388315495638908,57.6048876627541,60.8004719558768,0.693686931150926,159.547832020601,12.7898703365159,173.031389288268,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,1.6786,0.0022,0.22,762,1,0.909109697923758,159.239809237576,761.030572157275,175.160170000662,145.751705806452,0.441546128062291,138.659413199957,138.217867071895,159.483125626927,168.686879872664,0.773350464334821,0.388270629244166,52.3556812653838,55.254065939246,0.894973549625631,159.506032888699,14.473011226256,174.874017664581,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,1.8312,0.0024,0.24,762,1,0.909109697923758,159.239809237576,760.81252150326,175.160170000662,145.751705806452,0.515801076618464,127.200743558164,126.684942481546,157.8675641567,158.556067324101,0.773285506046035,0.388225740209206,47.9813385726084,50.6320562222926,1.09627741075065,159.464227338943,15.9644938512892,176.524998600983,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,1.9838,0.0026,0.26,762,1,0.909109697923758,159.239809237576,760.594452156638,175.160170000662,145.751705806452,0.584134460666699,117.510442439383,116.926307978716,156.404288379935,149.83720565698,0.773220504938775,0.388180828512287,44.2799679573346,46.7211205793569,1.29759852884673,159.422415365616,17.3153866751757,178.035400569639,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,2.1364,0.0028,0.28,762,1,0.909109697923758,159.239809237576,760.376364101877,175.160170000662,145.751705806452,0.647424875806092,109.209183415216,108.56175853941,155.058894091237,142.258248792079,0.773155460966773,0.388135894131638,41.1073611144926,43.3688859921081,1.49893691825362,159.380596962996,18.5574515810255,179.436985462275,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,2.289,0.003,0.3,762,1,0.909109697923758,159.239809237576,760.158257323424,175.160170000662,145.751705806452,0.70636881498624,102.018845961008,101.312477146022,153.808255170506,135.609866984111,0.773090374083691,0.388090937045456,38.3577652870277,40.4636122471015,1.70029259332953,159.338772125349,19.7120385496035,180.751103268282,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,2.4416,0.0032,0.32,762,1,0.909109697923758,159.239809237576,759.940131805706,175.160170000662,145.751705806452,0.761527757449382,95.730878792791,94.9693510353416,152.635940313473,129.729777480683,0.773025244243119,0.388045957231908,35.9518659071459,37.9214941842512,1.90166556845241,159.296940846936,20.7943169231325,181.992923338521,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,2.5942,0.0034,0.34,762,1,0.909109697923758,159.239809237576,759.721987533128,175.160170000662,145.751705806452,0.813360956925197,90.1858314041862,89.372470447261,151.529778194361,124.490806916358,0.772960071398578,0.388000954669128,33.8290106582961,35.6784455046661,2.10305585801816,159.25510312201,21.8155232415113,183.173682221539,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,2.7468,0.0036,0.36,762,1,0.909109697923758,159.239809237576,759.503824490076,175.160170000662,145.751705806452,0.862248843683908,85.2597099675961,84.3974611239122,150.480455096996,119.792140906128,0.772894855503515,0.387955929335219,31.9420255164911,33.6846213092066,2.30446347644251,159.213258944814,22.7842559060421,184.301978327299,300.380128899381,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,2.8994,0.0038,0.38,762,1,0.909109697923758,159.239809237576,759.285642660914,175.160170000662,145.751705806452,0.908510090897797,80.8546429526073,79.9461328617095,149.480655556565,115.552953497156,0.772829596511307,0.387910881208252,30.2536678312124,31.9006703617082,2.50588843815978,159.171408309585,23.7072685369761,185.384565284721,300.380128899381,2.74086309204336e-16
