valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,q_t2_error
1,2.61360787671233,0.155,0.3504,6,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,265.399682062626,761.061722167971,291.93361666777,242.919509677419,0.749799061939557,197.261598364369,196.511799302429,273.937459036155,233.50177590784,0.622266235045295,0.297434136742419,56.3098354163155,45.7325647689284,0.866215931559657,161.504839226746,16.6140112397841,178.98506639809,173.712113090637,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,159.239809237576,761.248604134197,175.160170000662,145.751705806452,0.360239320768623,152.417608104118,152.057368783349,161.306289722028,180.582058241729,0.773415379851331,0.388315495638908,57.6048876627541,60.8004719558768,0.693686931150926,159.547832020601,12.7898703365159,173.031389288268,300.380128899381,2.74086309204336e-16
1,6.09841837899543,0.155,0.3504,14,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,113.742720883983,761.307688123232,125.11440714333,104.108361290323,0.23707303657566,123.207682601429,122.970609564853,113.464570156947,147.075198100467,0.83816640339723,0.437230898496106,52.694131046464,62.0141842196564,0.639140728677334,154.171804487108,10.7551026499907,165.566047865776,374.497850038029,5.20417042793042e-17
1,2.61360787671233,0.155,0.3504,6,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,265.399682062626,750.119823418632,291.93361666777,242.919509677419,3.6331182082994,42.5797493292911,38.9466311209917,231.448440332516,84.4636452741747,0.616756282526637,0.294492333308983,11.0436853204285,8.87862760831586,10.9677516330892,159.005199826521,55.8397753589855,225.812726818596,173.712113090637,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,159.239809237576,752.512601770157,175.160170000662,145.751705806452,1.74062009626042,32.0091428131222,30.2685227168618,129.355221436648,64.9343071595974,0.770784933832729,0.386502962787113,11.4111095848618,11.9912117010384,8.75874417492467,157.870803606743,42.2870229222371,208.916570703904,300.380128899381,2.74086309204336e-16
1,6.09841837899543,0.155,0.3504,14,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,113.742720883983,753.264578671521,125.11440714333,104.108361290323,1.14463596179052,25.6508009506184,24.5061649888278,87.1129259865017,53.8166188844128,0.83643839790315,0.435794967094146,10.4654013111892,12.2802491636713,8.06452083308282,152.726414510258,35.0828798009011,195.873815144242,374.497850038029,5.20417042793042e-17
1,2.61360787671233,0.155,0.3504,6,0.01526,763,15.26,0.02,2,762,1,0.909109697923758,265.399682062626,736.297348227965,291.93361666777,242.919509677419,4.91062474195188,24.1536841824597,19.2430594405079,206.393073143275,61.2469280717176,0.609561666398379,0.290679204460099,5.38203802270963,4.26954135677377,23.7286288647908,155.822349281888,78.9708325890968,258.521810735776,173.712113090637,2.74086309204336e-16
1,4.35601312785388,0.155,0.3504,10,0.01526,763,15.26,0.02,2,762,1,0.909109697923758,159.239809237576,741.549048124813,175.160170000662,145.751705806452,2.3458664289182,17.3889566734317,15.0430902445135,111.098864169348,46.8029281137669,0.767396066055742,0.384184209283677,5.63576190023776,5.88875060229639,18.8802716265256,155.759514085129,59.1412498658605,233.781035577515,300.380128899381,2.74086309204336e-16
1,6.09841837899543,0.155,0.3504,14,0.01526,763,15.26,0.02,2,762,1,0.909109697923758,113.742720883983,743.186526971977,125.11440714333,104.108361290323,1.54146976649907,13.7386714731269,12.1972017066278,72.4553790209462,39.0832627035897,0.834220405216027,0.433964513182164,5.186164269511,6.06261541864513,17.3685549296285,150.911830172438,48.614693370127,216.895078472193,374.497850038029,5.20417042793042e-17
