p,K,regime_code,regime
0.25,0.06,2,capacity-q1
0.2722222222222222,0.06,2,capacity-q1
0.29444444444444445,0.06,2,capacity-q1
0.31666666666666665,0.06,2,capacity-q1
0.3388888888888889,0.06,2,capacity-q1
0.3611111111111111,0.06,2,capacity-q1
0.3833333333333333,0.06,2,capacity-q1
0.40555555555555556,0.06,2,capacity-q1
0.4277777777777778,0.06,2,capacity-q1
0.45,0.06,2,capacity-q1
0.4722222222222222,0.06,2,capacity-q1
0.49444444444444446,0.06,2,capacity-q1
0.5166666666666666,0.06,2,capacity-q1
0.538888888888889,0.06,2,capacity-q1
0.5611111111111111,0.06,2,capacity-q1
0.5833333333333334,0.06,2,capacity-q1
0.6055555555555556,0.06,2,capacity-q1
0.6277777777777778,0.06,2,capacity-q1
0.65,0.06,2,capacity-q1
0.6722222222222223,0.06,2,capacity-q1
0.6944444444444444,0.06,2,capacity-q1
0.7166666666666667,0.06,2,capacity-q1
0.7388888888888889,0.06,2,capacity-q1
0.7611111111111112,0.06,2,capacity-q1
0.7833333333333333,0.06,2,capacity-q1
0.8055555555555556,0.06,2,capacity-q1
0.8277777777777778,0.06,2,capacity-q1
0.85,0.06,2,capacity-q1
0.25,0.06923076923076923,2,capacity-q1
0.2722222222222222,0.06923076923076923,2,capacity-q1
0.29444444444444445,0.06923076923076923,2,capacity-q1
0.31666666666666665,0.06923076923076923,2,capacity-q1
0.3388888888888889,0.06923076923076923,2,capacity-q1
0.3611111111111111,0.06923076923076923,2,capacity-q1
0.3833333333333333,0.06923076923076923,2,capacity-q1
0.40555555555555556,0.06923076923076923,2,capacity-q1
0.4277777777777778,0.06923076923076923,2,capacity-q1
0.45,0.06923076923076923,2,capacity-q1
0.4722222222222222,0.06923076923076923,2,capacity-q1
0.49444444444444446,0.06923076923076923,2,capacity-q1
0.5166666666666666,0.06923076923076923,2,capacity-q1
0.538888888888889,0.06923076923076923,2,capacity-q1
0.5611111111111111,0.06923076923076923,2,capacity-q1
0.5833333333333334,0.06923076923076923,2,capacity-q1
0.6055555555555556,0.06923076923076923,2,capacity-q1
0.6277777777777778,0.06923076923076923,2,capacity-q1
0.65,0.06923076923076923,2,capacity-q1
0.6722222222222223,0.06923076923076923,2,capacity-q1
0.6944444444444444,0.06923076923076923,2,capacity-q1
0.7166666666666667,0.06923076923076923,2,capacity-q1
0.7388888888888889,0.06923076923076923,2,capacity-q1
0.7611111111111112,0.06923076923076923,2,capacity-q1
0.7833333333333333,0.06923076923076923,2,capacity-q1
0.8055555555555556,0.06923076923076923,2,capacity-q1
0.8277777777777778,0.06923076923076923,2,capacity-q1
0.85,0.06923076923076923,2,capacity-q1
0.25,0.07846153846153846,1,direct-q1
0.2722222222222222,0.07846153846153846,2,capacity-q1
0.29444444444444445,0.07846153846153846,2,capacity-q1
0.31666666666666665,0.07846153846153846,2,capacity-q1
0.3388888888888889,0.07846153846153846,2,capacity-q1
0.3611111111111111,0.07846153846153846,2,capacity-q1
0.3833333333333333,0.07846153846153846,2,capacity-q1
0.40555555555555556,0.07846153846153846,2,capacity-q1
0.4277777777777778,0.07846153846153846,2,capacity-q1
0.45,0.07846153846153846,2,capacity-q1
0.4722222222222222,0.07846153846153846,2,capacity-q1
0.49444444444444446,0.07846153846153846,2,capacity-q1
0.5166666666666666,0.07846153846153846,2,capacity-q1
0.538888888888889,0.07846153846153846,2,capacity-q1
0.5611111111111111,0.07846153846153846,2,capacity-q1
0.5833333333333334,0.07846153846153846,2,capacity-q1
0.6055555555555556,0.07846153846153846,2,capacity-q1
0.6277777777777778,0.07846153846153846,2,capacity-q1
0.65,0.07846153846153846,2,capacity-q1
0.6722222222222223,0.07846153846153846,2,capacity-q1
0.6944444444444444,0.07846153846153846,2,capacity-q1
0.7166666666666667,0.07846153846153846,2,capacity-q1
0.7388888888888889,0.07846153846153846,2,capacity-q1
0.7611111111111112,0.07846153846153846,2,capacity-q1
0.7833333333333333,0.07846153846153846,2,capacity-q1
0.8055555555555556,0.07846153846153846,2,capacity-q1
0.8277777777777778,0.07846153846153846,2,capacity-q1
0.85,0.07846153846153846,2,capacity-q1
0.25,0.08769230769230768,1,direct-q1
0.2722222222222222,0.08769230769230768,2,capacity-q1
0.29444444444444445,0.08769230769230768,2,capacity-q1
0.31666666666666665,0.08769230769230768,2,capacity-q1
0.3388888888888889,0.08769230769230768,2,capacity-q1
0.3611111111111111,0.08769230769230768,2,capacity-q1
0.3833333333333333,0.08769230769230768,2,capacity-q1
0.40555555555555556,0.08769230769230768,2,capacity-q1
0.4277777777777778,0.08769230769230768,2,capacity-q1
0.45,0.08769230769230768,2,capacity-q1
0.4722222222222222,0.08769230769230768,2,capacity-q1
0.49444444444444446,0.08769230769230768,2,capacity-q1
0.5166666666666666,0.08769230769230768,2,capacity-q1
0.538888888888889,0.08769230769230768,2,capacity-q1
0.5611111111111111,0.08769230769230768,2,capacity-q1
0.5833333333333334,0.08769230769230768,2,capacity-q1
0.6055555555555556,0.08769230769230768,2,capacity-q1
0.6277777777777778,0.08769230769230768,2,capacity-q1
0.65,0.08769230769230768,2,capacity-q1
0.6722222222222223,0.08769230769230768,2,capacity-q1
0.6944444444444444,0.08769230769230768,2,capacity-q1
0.7166666666666667,0.08769230769230768,2,capacity-q1
0.7388888888888889,0.08769230769230768,2,capacity-q1
0.7611111111111112,0.08769230769230768,2,capacity-q1
0.7833333333333333,0.08769230769230768,2,capacity-q1
0.8055555555555556,0.08769230769230768,2,capacity-q1
0.8277777777777778,0.08769230769230768,2,capacity-q1
0.85,0.08769230769230768,2,capacity-q1
0.25,0.09692307692307692,1,direct-q1
0.2722222222222222,0.09692307692307692,1,direct-q1
0.29444444444444445,0.09692307692307692,2,capacity-q1
0.31666666666666665,0.09692307692307692,2,capacity-q1
0.3388888888888889,0.09692307692307692,2,capacity-q1
0.3611111111111111,0.09692307692307692,2,capacity-q1
0.3833333333333333,0.09692307692307692,2,capacity-q1
0.40555555555555556,0.09692307692307692,2,capacity-q1
0.4277777777777778,0.09692307692307692,2,capacity-q1
0.45,0.09692307692307692,2,capacity-q1
0.4722222222222222,0.09692307692307692,2,capacity-q1
0.49444444444444446,0.09692307692307692,2,capacity-q1
0.5166666666666666,0.09692307692307692,2,capacity-q1
0.538888888888889,0.09692307692307692,2,capacity-q1
0.5611111111111111,0.09692307692307692,2,capacity-q1
0.5833333333333334,0.09692307692307692,2,capacity-q1
0.6055555555555556,0.09692307692307692,2,capacity-q1
0.6277777777777778,0.09692307692307692,2,capacity-q1
0.65,0.09692307692307692,2,capacity-q1
0.6722222222222223,0.09692307692307692,2,capacity-q1
0.6944444444444444,0.09692307692307692,2,capacity-q1
0.7166666666666667,0.09692307692307692,2,capacity-q1
0.7388888888888889,0.09692307692307692,2,capacity-q1
0.7611111111111112,0.09692307692307692,2,capacity-q1
0.7833333333333333,0.09692307692307692,2,capacity-q1
0.8055555555555556,0.09692307692307692,2,capacity-q1
0.8277777777777778,0.09692307692307692,2,capacity-q1
0.85,0.09692307692307692,2,capacity-q1
0.25,0.10615384615384615,0,safe
0.2722222222222222,0.10615384615384615,1,direct-q1
0.29444444444444445,0.10615384615384615,2,capacity-q1
0.31666666666666665,0.10615384615384615,2,capacity-q1
0.3388888888888889,0.10615384615384615,2,capacity-q1
0.3611111111111111,0.10615384615384615,2,capacity-q1
0.3833333333333333,0.10615384615384615,2,capacity-q1
0.40555555555555556,0.10615384615384615,2,capacity-q1
0.4277777777777778,0.10615384615384615,2,capacity-q1
0.45,0.10615384615384615,2,capacity-q1
