K,optimal_cost,fill_box_cost,regime
0.055,5.519319441426218,5.539207832709474,capacity-q1
0.06021189398670206,4.981620750354665,5.003573242549189,capacity-q1
0.06542378797340413,4.528794808094799,4.552754825165221,capacity-q1
0.0706356819601062,4.14205698220725,4.167965881741372,capacity-q1
0.07584757594680826,3.8077846689739374,3.835582981589008,capacity-q1
0.08105946993351032,3.515857719194031,3.545486017926723,capacity-q1
0.0862713639202124,3.258600444918627,3.289999952827952,capacity-q1
0.09148325790691446,3.030085288541012,3.0631982992476634,capacity-q1
0.09669515189361652,2.8256616923554043,2.8604318558595745,capacity-q1
0.10190704588031858,2.6416295418868194,2.6780020527939103,capacity-q1
0.10711893986702065,2.475007940745116,2.512929655528044,capacity-q1
0.11233083385372272,2.323368353294218,2.362787855872349,capacity-q1
0.11754272784042477,2.1847121354091055,2.225579765117454,capacity-q1
0.12275462182712685,2.057379260217388,2.0996471125099885,capacity-q1
0.12796651581382892,1.9399793445506053,1.9836012520840653,capacity-q1
0.13317840980053097,1.8313388665020547,1.876270366276044,capacity-q1
0.13839030378723305,1.730460305247953,1.7766585960310008,capacity-q1
0.1436021977739351,1.6364901737426012,1.6839140669387629,capacity-q1
0.14881409176063717,1.5486937636418285,1.5973036299541505,capacity-q1
0.15402598574733925,1.4664350120539182,1.5161927257017618,capacity-q1
0.1592378797340413,1.3891603160720243,1.4400291978683832,capacity-q1
0.16444977372074338,1.3163854186161088,1.3683301788706868,capacity-q1
0.16966166770744542,1.2476847043927088,1.3006713863484916,capacity-q1
0.1748735616941475,1.1826824022899491,1.2366783266052472,capacity-q1
0.18008545568084955,1.1210453069781425,1.1760190176172858,capacity-q1
0.18529734966755163,1.0624767194244458,1.1183979312072272,capacity-q1
0.19050924365425367,1.006711371519055,1.0635509194931887,capacity-q1
0.19572113764095575,0.9535111497510713,1.0112409404868916,capacity-q1
0.20093303162765783,0.9026614709376355,0.9612544357952757,capacity-q1
0.20614492561435988,0.8539681923261226,0.913398242708597,capacity-q1
0.21135681960106195,0.8072549611023824,0.867496945680781,capacity-q1
0.216568713587764,0.762360925991635,0.8233905898685638,capacity-q1
0.22178060757446608,0.7190645918645941,0.7809326931531646,direct-q1
0.22699250156116815,0.6771635414730212,0.7399885037558083,direct-q1
0.2322043955478702,0.6365839754972945,0.7004334587897267,direct-q1
0.23741628953457228,0.5972579442095609,0.6621518052980649,direct-q1
0.24262818352127433,0.5591222462284129,0.6250353497938365,direct-q1
0.2478400775079764,0.5221180108399719,0.5889823051958686,direct-q1
0.2530519714946785,0.48619032452140426,0.5538962053591203,direct-q1
0.25826386548138053,0.45128789621303866,0.5196848569849167,direct-q1
0.2634757594680826,0.4173627566515911,0.48625929620886443,direct-q1
0.2686876534547847,0.38436998772279013,0.4535327119256211,direct-q1
0.27389954744148676,0.35226747833812766,0.42141928873173656,direct-q1
0.27911144142818883,0.3210157038041493,0.3898329071902024,direct-q1
0.28432333541489085,0.2905775260475373,0.3586856143231144,direct-q1
0.28953522940159293,0.26091801239660495,0.32788573628717577,direct-q1
0.294747123388295,0.23200427090875064,0.29733543582244276,direct-q1
0.2999590173749971,0.20380530048179304,0.2669273951749782,direct-q1
0.3051709113616991,0.17629185420104587,0.23654008050850792,direct-q1
0.3103828053484012,0.1494363145588656,0.2060306038544033,direct-q1
0.31559469933510326,0.12321257934355774,0.17522326851573655,direct-q1
0.32080659332180533,0.09759595713343562,0.14388971170970188,direct-q1
0.32601848730850735,0.0725630714536577,0.11171075303234042,direct-q1
0.33123038129520943,0.048091772756608385,0.07819117327957599,direct-q1
0.3364422752819115,0.024161057483593408,0.04241334660936418,direct-q1
0.3416541692686136,0.0007509935410784466,0.0015788393139533265,direct-q1
0.34686606325531566,0.0,0.0,safe
0.3520779572420177,0.0,0.0,safe
