p,saving_percent,optimal_cost,fill_box_cost,regime
0.30122448979591837,25.135042333558815,0.0684546191410689,0.09143746456929372,direct-q1
0.313469387755102,16.82566210954543,0.16321365467399848,0.19623078321219742,direct-q1
0.32571428571428573,12.436856112156757,0.25548400165453805,0.291771161142614,direct-q1
0.3379591836734694,9.76083013003444,0.34585214033021766,0.38326165990732164,direct-q1
0.35020408163265304,8.040333998019937,0.434763501309678,0.4727762944466509,direct-q1
0.36244897959183675,6.912743867574685,0.5225615775832118,0.5613674731585375,capacity-q1
0.3746938775510204,6.123686574237006,0.6098546928340653,0.6496363891796155,capacity-q1
0.38693877551020406,5.520755299917459,0.6972107775660286,0.7379512609137311,capacity-q1
0.39918367346938777,5.04299802737392,0.7848648449127442,0.8265476253546871,capacity-q1
0.4114285714285714,4.65378014680774,0.8729710850231547,0.9155801733590458,capacity-q1
0.4236734693877551,4.329682708666246,0.9616319634818473,1.0051518492966849,capacity-q1
0.4359183673469388,4.054995409731407,1.0509155945237771,1.0953312254365855,capacity-q1
0.44816326530612244,3.818762464295946,1.1408666206636258,1.186163382686896,capacity-q1
0.4604081632653061,3.613096217594219,1.2315132896940761,1.2776769886438384,capacity-q1
0.4726530612244898,3.4321643801167516,1.3228722025005162,1.3698890463981133,capacity-q1
0.48489795918367345,3.2715556026907837,1.414951580450865,1.4628081628595135,capacity-q1
0.4971428571428571,3.127867626057452,1.5077535622497584,1.5564368464911857,capacity-q1
0.5093877551020408,2.9984316224824683,1.601275847604618,1.6507731518037523,capacity-q1
0.5216326530612245,2.88112274020257,1.6955128912772977,1.7458118741856161,capacity-q1
0.5338775510204081,2.774226839215827,1.7904567815652488,1.841545429116141,capacity-q1
0.5461224489795918,2.676344813855707,1.8860978935068875,1.9379645060591664,capacity-q1
0.5583673469387755,2.5863226388762897,1.9824253788653472,2.035058559093574,capacity-q1
0.5706122448979591,2.503199382646646,2.0794275362988146,2.132816177691783,capacity-q1
0.5828571428571429,2.4261680014674556,2.1770920925651547,2.2312253684962347,capacity-q1
0.5951020408163266,2.3545453772001315,2.275406416993742,2.330273770329134,capacity-q1
0.6073469387755102,2.287749140480487,2.374357685452595,2.429948818665736,capacity-q1
0.6195918367346939,2.225279543691399,2.4739330057920474,2.530237871554482,capacity-q1
0.6318367346938776,2.1667051391069867,2.574119513701742,2.631128305922667,capacity-q1
0.6440816326530612,2.1116513574300426,2.6749044457100943,2.732607590998654,capacity-q1
0.6563265306122449,2.0597913205607306,2.776275194436283,2.834663343962336,capacity-q1
0.6685714285714286,2.0108383923435507,2.8782193500012108,2.9372833717319193,capacity-q1
0.6808163265306122,1.964540093563889,2.9807247306131384,3.0404557019040936,capacity-q1
0.6930612244897959,1.9206730969093793,3.0837794046600107,3.144168605181197,capacity-q1
0.7053061224489796,1.8790390835802893,3.187371706130362,3.2484106111082554,capacity-q1
0.7175510204081632,1.8394612924507037,3.2914902447889136,3.3531705185474627,capacity-q1
0.7297959183673469,1.8017816296988034,3.3961239122300766,3.458437402014201,capacity-q1
0.7420408163265306,1.765858234965434,3.5012618846966137,3.5642006147630965,capacity-q1
0.7542857142857142,1.7315634216320617,3.6068936233673488,3.6704497893287362,capacity-q1
0.7665306122448979,1.6987819254562784,3.713008872673708,3.777174836081951,capacity-q1
0.7787755102040816,1.6674094087278064,3.819597657091397,3.8843659402485193,capacity-q1
0.7910204081632652,1.637351177258273,3.9266502767637816,3.9920135577478764,capacity-q1
0.803265306122449,1.608521075514646,4.034157302241615,4.1001084101376275,capacity-q1
0.8155102040816327,1.5808405314774003,4.142109568569998,4.208641478892907,capacity-q1
0.8277551020408163,1.5542377280637287,4.250498168899949,4.317603999203965,capacity-q1
0.84,1.528646881727333,4.359314447777592,4.4269874534390485,capacity-q1
