quantity,value
p,0.5
c,2.0
gamma,0.3
K,0.15
s0,0.99
i0,0.01
h,0.3
r,0.15
ell,0.15
natural_peak,0.3418232594582696
regime,capacity-q1
s1,0.7775221610386437
s_switch,0.5476951354603352
i_switch,0.15
s_release,0.4516637906662894
i_release,0.12108289006592277
tau1,4.349191557719972
tau_boundary,1.5203108877368898
tau_q1,0.7138664705548664
cost,1.529511160151471
fill_box_cost,1.5783855039561376
direct_cost,1.6364798117660997
boundary_cost_total,1.529511160151471
